genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
Control,10,0.1,0.1,0.1,0.560576,5.60576,2.51417,24.0526,144.596873197363,0.1785,0.0830000000000001,0.918571628671675,0.912944412452337,peak,1516.4116990853,0.542499999999998,0.371999999999959,-0.904645372173939,-0.670967741935482,-0.776881720430083,1.87212616765213
Control,10,0.1,0.1,0.1,0.560576,5.60576,2.51417,24.0526,144.596873197363,0.1785,0.0830000000000001,0.918571628671675,0.912944412452337,p95,1496.32838208045,0.542499999999998,0.371999999999959,-0.90336554801138,-0.670967741935482,-0.776881720430083,1.86981223159031
Control,10,0.1,0.1,0.1,0.560576,5.60576,2.51417,24.0526,144.596873197363,0.1785,0.0830000000000001,0.918571628671675,0.912944412452337,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,-0.857890417963504,-0.670967741935482,-0.776881720430083,1.78971888749
Control,10,0.1,0.1,0.316227766016838,0.560576,5.60576,2.51417,76.060999648966,379.809108790126,0.1695,0.0850000000000001,0.918321948728559,0.911891265586192,peak,1516.4116990853,0.542499999999998,0.371999999999959,-0.749534305875359,-0.687557603686634,-0.771505376344061,1.62975767979915
Control,10,0.1,0.1,0.316227766016838,0.560576,5.60576,2.51417,76.060999648966,379.809108790126,0.1695,0.0850000000000001,0.918321948728559,0.911891265586192,p95,1496.32838208045,0.542499999999998,0.371999999999959,-0.746172622708626,-0.687557603686634,-0.771505376344061,1.62472958699497
Control,10,0.1,0.1,0.316227766016838,0.560576,5.60576,2.51417,76.060999648966,379.809108790126,0.1695,0.0850000000000001,0.918321948728559,0.911891265586192,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,-0.626724198730438,-0.687557603686634,-0.771505376344061,1.46073922538941
Control,10,0.1,0.1,1,0.560576,5.60576,2.51417,240.526,797.022209016084,0.157,0.0890000000000001,0.917922872724111,0.910125382879817,peak,1516.4116990853,0.542499999999998,0.371999999999959,-0.474402492742012,-0.710599078341012,-0.760752688172016,1.30875342781988
Control,10,0.1,0.1,1,0.560576,5.60576,2.51417,240.526,797.022209016084,0.157,0.0890000000000001,0.917922872724111,0.910125382879817,p95,1496.32838208045,0.542499999999998,0.371999999999959,-0.467348064394843,-0.710599078341012,-0.760752688172016,1.30210991599365
Control,10,0.1,0.1,1,0.560576,5.60576,2.51417,240.526,797.022209016084,0.157,0.0890000000000001,0.917922872724111,0.910125382879817,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,-0.216687812865194,-0.710599078341012,-0.760752688172016,1.13064931094435
Control,10,0.1,0.1,3.16227766016838,0.560576,5.60576,2.51417,760.60999648966,1291.13276226441,0.148,0.0890000000000001,0.917483035097602,0.907929574711847,peak,1516.4116990853,0.542499999999998,0.371999999999959,-0.148560537324247,-0.727188940092165,-0.760752688172016,1.12961864040338
Control,10,0.1,0.1,3.16227766016838,0.560576,5.60576,2.51417,760.60999648966,1291.13276226441,0.148,0.0890000000000001,0.917483035097602,0.907929574711847,p95,1496.32838208045,0.542499999999998,0.371999999999959,-0.137132745908848,-0.727188940092165,-0.760752688172016,1.12635379715382
Control,10,0.1,0.1,3.16227766016838,0.560576,5.60576,2.51417,760.60999648966,1291.13276226441,0.148,0.0890000000000001,0.917483035097602,0.907929574711847,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,0.268923270205049,-0.727188940092165,-0.760752688172016,1.17986813241109
Control,10,0.1,0.1,10,0.560576,5.60576,2.51417,2405.26,1723.07528077919,0.144,0.0870000000000001,0.917118114759593,0.905926264333521,peak,1516.4116990853,0.542499999999998,0.371999999999959,0.136284613089273,-0.734562211981566,-0.766129032258039,1.14510883310478
Control,10,0.1,0.1,10,0.560576,5.60576,2.51417,2405.26,1723.07528077919,0.144,0.0870000000000001,0.917118114759593,0.905926264333521,p95,1496.32838208045,0.542499999999998,0.371999999999959,0.151535519485018,-0.734562211981566,-0.766129032258039,1.14949835100548
Control,10,0.1,0.1,10,0.560576,5.60576,2.51417,2405.26,1723.07528077919,0.144,0.0870000000000001,0.917118114759593,0.905926264333521,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,0.693435705450747,-0.734562211981566,-0.766129032258039,1.60738841493386
Control,10,0.1,0.316227766016838,0.1,0.560576,5.60576,7.95050362486553,24.0526,271.388045606494,0.2175,0.0940000000000001,0.915238205963673,0.897782873962565,peak,1516.4116990853,0.542499999999998,0.371999999999959,-0.821032740798429,-0.599078341013823,-0.747311827956961,1.59146458833923
Control,10,0.1,0.316227766016838,0.1,0.560576,5.60576,7.95050362486553,24.0526,271.388045606494,0.2175,0.0940000000000001,0.915238205963673,0.897782873962565,p95,1496.32838208045,0.542499999999998,0.371999999999959,-0.818630690390859,-0.599078341013823,-0.747311827956961,1.58752603412606
Control,10,0.1,0.316227766016838,0.1,0.560576,5.60576,7.95050362486553,24.0526,271.388045606494,0.2175,0.0940000000000001,0.915238205963673,0.897782873962565,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,-0.733280250962275,-0.599078341013823,-0.747311827956961,1.45506975332755
Control,10,0.1,0.316227766016838,0.316227766016838,0.560576,5.60576,7.95050362486553,76.060999648966,758.530364620672,0.209,0.0910000000000001,0.91439875163576,0.895053406767417,peak,1516.4116990853,0.542499999999998,0.371999999999959,-0.499785998038516,-0.6147465437788,-0.755376344085994,1.19829277812806
Control,10,0.1,0.316227766016838,0.316227766016838,0.560576,5.60576,7.95050362486553,76.060999648966,758.530364620672,0.209,0.0910000000000001,0.91439875163576,0.895053406767417,p95,1496.32838208045,0.542499999999998,0.371999999999959,-0.493072260270814,-0.6147465437788,-0.755376344085994,1.19162698814127
Control,10,0.1,0.316227766016838,0.316227766016838,0.560576,5.60576,7.95050362486553,76.060999648966,758.530364620672,0.209,0.0910000000000001,0.91439875163576,0.895053406767417,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,-0.254517537657235,-0.6147465437788,-0.755376344085994,1.0132859112678
