genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
Control,10,k_1,0.1,0.560576,1,2716.46959720295,0.2515,0.178,0.337,0.893896204688576,0.846146740463983,peak,1516.4116990853,0.542499999999998,0.371999999999959,0.791380005074827,-0.536405529953915,-0.521505376344033,1.1859810625531
Control,10,k_1,0.1,0.560576,1,2716.46959720295,0.2515,0.178,0.337,0.893896204688576,0.846146740463983,p95,1496.32838208045,0.542499999999998,0.371999999999959,0.815423425589277,-0.536405529953915,-0.521505376344033,1.22461411312062
Control,10,k_1,0.1,0.560576,1,2716.46959720295,0.2515,0.178,0.337,0.893896204688576,0.846146740463983,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,1.6697420942599,-0.536405529953915,-0.521505376344033,3.3477374114643
Control,10,k_1,0.215443469003188,1.20772438079931,1,3225.5658081755,0.2725,0.189,0.356,0.889498307212712,0.809723951938357,peak,1516.4116990853,0.542499999999998,0.371999999999959,1.12710427525794,-0.49769585253456,-0.491935483870911,1.76006572922614
Control,10,k_1,0.215443469003188,1.20772438079931,1,3225.5658081755,0.2725,0.189,0.356,0.889498307212712,0.809723951938357,p95,1496.32838208045,0.542499999999998,0.371999999999959,1.15565369661088,-0.49769585253456,-0.491935483870911,1.8252371484118
Control,10,k_1,0.215443469003188,1.20772438079931,1,3225.5658081755,0.2725,0.189,0.356,0.889498307212712,0.809723951938357,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,2.17008105842909,-0.49769585253456,-0.491935483870911,5.19895348207412
Control,10,k_1,0.464158883361278,2.60196330199132,1,3669.0038546244,0.28,0.171,0.34,0.888085477608116,0.790802298852126,peak,1516.4116990853,0.542499999999998,0.371999999999959,1.41953016904152,-0.483870967741933,-0.54032258064511,2.54114550539757
Control,10,k_1,0.464158883361278,2.60196330199132,1,3669.0038546244,0.28,0.171,0.34,0.888085477608116,0.790802298852126,p95,1496.32838208045,0.542499999999998,0.371999999999959,1.45200445207297,-0.483870967741933,-0.54032258064511,2.63439653341822
Control,10,k_1,0.464158883361278,2.60196330199132,1,3669.0038546244,0.28,0.171,0.34,0.888085477608116,0.790802298852126,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,2.60589128064545,-0.483870967741933,-0.54032258064511,7.31674897112249
Control,10,k_1,1,5.60576,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,peak,1516.4116990853,0.542499999999998,0.371999999999959,1.57211090725978,-0.487557603686633,-0.577956989247265,3.04327940305758
Control,10,k_1,1,5.60576,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,p95,1496.32838208045,0.542499999999998,0.371999999999959,1.6066330879126,-0.487557603686633,-0.577956989247265,3.153016577508
Control,10,k_1,1,5.60576,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,2.83328648347262,-0.487557603686633,-0.577956989247265,8.59925899576104
Control,10,k_1,2.15443469003188,12.0772438079931,1,3984.59855251951,0.274,0.15,0.317,0.887504157224146,0.789613799522321,peak,1516.4116990853,0.542499999999998,0.371999999999959,1.62764957229163,-0.494930875576035,-0.596774193548342,3.25033913986485
Control,10,k_1,2.15443469003188,12.0772438079931,1,3984.59855251951,0.274,0.15,0.317,0.887504157224146,0.789613799522321,p95,1496.32838208045,0.542499999999998,0.371999999999959,1.6629171779656,-0.494930875576035,-0.596774193548342,3.36638955045682
Control,10,k_1,2.15443469003188,12.0772438079931,1,3984.59855251951,0.274,0.15,0.317,0.887504157224146,0.789613799522321,least_squares,1017.50262807914,0.542499999999998,0.371999999999959,2.91605725878242,-0.494930875576035,-0.596774193548342,9.1044859461814
Control,10,k_1,4.64158883361278,26.0196330199132,1,4013.61346033399,0.272,0.147,0.314,0.887427054194806,0.791004239912955,peak,1516.4116990853,0.542499999999998,0.371999999999959,1.64678349735431,-0.498617511520735,-0.604838709677376,3.32634517467782
