genotype,ratio,parameter,valid_count,peak_span,tpeak_span,relax_span,srx_span,best_score,best_fold
Control,10,k_5_0,7,7.0041441634221,0.036866359447005,0.131720430107542,0.151514035868533,0.682853943013048,0.215443469003188
Control,10,k_7_3,7,1.39658851702675,0.0396313364055301,0.0860215053763536,0.0440124314425389,0.74960372935126,0.1
Control,10,k_coop,7,1.51017631171273,0.106912442396314,1.40053763440865,0.0127180409903707,0.807849238577011,0.1
Control,10,k_3,4,1.97078047016882,0.215668202764978,0.20430107526884,0.109702153729913,1.05251017518434,0.215443469003188
Control,10,k_4_0,4,1.81065815006819,0.250691244239633,0.215053763440884,0.0973574305790421,1.1806608010769,10
Control,10,k_1,7,0.862631954770754,0.0525345622119817,0.115591397849475,0.0582341984033683,1.1859810625531,0.1
Control,10,k_off,4,2.48704879609978,0.375115207373274,0.244623655914006,0.13021675934578,1.53375905060642,2.15443469003188
Control,10,k_on,4,2.48834129041495,0.364055299539172,0.247311827957017,0.130279229939525,1.53977982911951,0.464158883361278
Control,10,k_7_1,7,0.351394750340002,0.0110599078341012,0.05107526881721,0.0122094695412178,2.09284721051753,10
Control,10,k_force,5,0.899221481758936,0.173271889400922,0.733870967741959,0.132433152266851,2.15934944497107,0.1
Control,10,k_7_2,7,0.254648741411499,0.0156682027649769,0.0295698924731216,0.0079613321338714,2.41359419691041,0.1
Control,20,k_coop,7,1.22929615867499,0.0460829493087562,0.389784946236602,0.0105168371585657,0.546705363586404,0.1
Control,20,k_5_0,7,5.34614070143069,0.0368663594470046,0.104838709677431,0.0841945867281424,0.85782365311914,0.464158883361278
Control,20,k_7_3,7,1.06659072995345,0.0175115207373272,0.0241935483870995,0.0235055299348065,0.932811702772692,0.1
Control,20,k_1,7,0.631041964459639,0.0147465437788017,0.0564516129032321,0.0276393880290785,0.987874021355428,0.1
Control,20,k_3,5,2.4047733923202,0.291244239631338,0.309139784946271,0.113010298430184,1.08510747202889,0.464158883361278
Control,20,k_4_0,5,1.79228795993695,0.288479262672813,0.241935483870995,0.0765884168449488,1.14458007718012,4.64158883361278
Control,20,k_on,4,1.93317033023542,0.284792626728112,0.107526881720442,0.0767220142168182,1.30679160004112,0.464158883361278
Control,20,k_off,4,1.93264808101785,0.294930875576038,0.110215053763453,0.076697843789974,1.34714947407004,2.15443469003188
Control,20,k_7_1,7,0.269913775544923,0.00276497695852526,0.0295698924731216,0.0075410199143876,1.38394087414448,10
Control,20,k_force,6,1.33502691959019,0.178801843317973,0.422043010752726,0.147534326285478,1.42004911911673,0.1
Control,20,k_7_2,7,0.201519503484783,0.00737327188940096,0.0053763440860221,0.00422079590320301,1.51947003685077,0.1
H251N,10,k_3,4,2.19390826538595,0.483483483483484,2.02205882352929,0.164283865464279,0.343975773665888,0.215443469003188
H251N,10,k_7_3,4,1.70820414734281,0.190690690690691,1.15441176470576,0.0900255047513809,0.351341058551388,0.215443469003188
H251N,10,k_7_2,4,1.6880585121977,0.189189189189189,1.17647058823517,0.0887585293605283,0.35165996030684,0.1
H251N,10,k_force,4,0.827990357267915,0.285285285285285,1.94852941176458,0.122896664653009,1.09998175188252,0.1
H251N,10,k_on,4,2.69392437734363,0.77027027027027,2.19117647058811,0.194927819762467,1.1674271913606,0.215443469003188
H251N,10,k_off,4,2.69256688220845,0.791291291291291,2.19117647058811,0.194846838332761,1.18676499833632,4.64158883361278
H251N,10,k_4_0,4,0.613582493496102,0.376876876876877,2.06617647058811,0.0580103056719601,1.70776411302884,10
H251N,10,k_coop,4,0.714725885494797,0.240240240240241,1.9926470588234,0.00677395989464502,4.63516780817197,2.15443469003188
H251N,10,k_7_1,4,0.111946789239295,0.0150150150150153,0.360294117647016,0.00719989925042941,5.06252230271209,0.1
H251N,10,k_1,6,0.204244467705047,0.018018018018018,1.65441176470569,0.00991146816231492,5.21058672590649,10
H251N,10,k_5_0,4,1.78730690380094,0.297297297297297,2.2941176470587,0.0389709675339505,5.66209703393112,1
H251N,20,k_7_2,7,1.35223163008614,0.0705705705705697,0.294117647058824,0.049346819959176,0.104958495564367,0.215443469003188
H251N,20,k_7_3,7,1.35135422990853,0.0735735735735734,0.301470588235294,0.0496239235804875,0.115947758862107,0.215443469003188
H251N,20,k_5_0,6,2.25026650521358,0.336336336336336,2.57352941176456,0.0454680190339941,0.270248831361861,0.464158883361278
H251N,20,k_3,4,1.72693819984129,0.265765765765766,0.161764705882353,0.093463934022774,0.387520348581914,0.464158883361278
H251N,20,k_7_1,7,0.591332528546877,0.151651651651652,0.0294117647058824,0.0327563524556526,0.447227246290913,10
H251N,20,k_4_0,7,0.760545270676831,0.271771771771771,0.382352941176471,0.045825348733067,0.519043232068634,10
H251N,20,k_force,5,1.23826375175162,0.259759759759759,0.595588235294118,0.142889642707242,0.542866410620615,0.1
H251N,20,k_coop,6,1.09324003298044,0.205705705705706,1.89705882352936,0.00896310500844821,0.543570418475422,0.464158883361278
H251N,20,k_1,7,0.30574751915845,0.021021021021021,0.102941176470588,0.0109584504815831,0.721682393154506,0.1
H251N,20,k_on,4,2.00558948364102,0.51051051051051,0.257352941176471,0.106144229222135,0.779652554193712,0.464158883361278
H251N,20,k_off,4,2.00500282296567,0.530030030030029,0.272058823529412,0.10611807448725,0.872718910349902,2.15443469003188
