genotype,ratio,acute_run_id,acute_fraction,peak,time_to_peak,relax_half_time,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
Control,10,ctrl_acute_r10_s03,0,3900.37907111363,0.278,0.157,2004.61985656092,0.3675,0.250999999999991,0.945695119375418,-0.243537414965986,-0.374501992031849,1.09390147333462
Control,10,ctrl_acute_r10_s03,0.1,3305.38687977051,0.287,0.175,2004.61985656092,0.3675,0.250999999999991,0.648884634636493,-0.219047619047619,-0.302788844621488,0.560714212904982
Control,10,ctrl_acute_r10_s03,0.2,2772.24788941193,0.2975,0.197,2004.61985656092,0.3675,0.250999999999991,0.382929476797626,-0.190476190476191,-0.215139442231046,0.229201142942312
Control,10,ctrl_acute_r10_s03,0.3,2304.93519577872,0.3105,0.225999999999998,2004.61985656092,0.3675,0.250999999999991,0.149811615521468,-0.155102040816326,-0.0996015936254712,0.056420640663275
Control,10,ctrl_acute_r10_s03,0.4,1907.37346339796,0.3275,0.265999999999992,2004.61985656092,0.3675,0.250999999999991,-0.0485111393288252,-0.108843537414966,0.0597609561753072,0.0177716181589707
Control,10,ctrl_acute_r10_s03,0.5,1577.16605096713,0.348,0.320999999999984,2004.61985656092,0.3675,0.250999999999991,-0.213234346748973,-0.0530612244897961,0.278884462151378,0.126060923407281
Control,10,ctrl_acute_r10_s03,0.6,1308.99014201482,0.3745,0.403999999999972,2004.61985656092,0.3675,0.250999999999991,-0.347013281480461,0.0190476190476191,0.609561752987996,0.492346560021019
Control,10,ctrl_acute_r10_s03,0.7,1095.0495315661,0.411,NaN,2004.61985656092,0.3675,0.250999999999991,-0.453737062425023,0.118367346938775,NaN,NaN
Control,10,ctrl_acute_r10_s03,0.8,926.635400760013,0.4625,NaN,2004.61985656092,0.3675,0.250999999999991,-0.537750063820216,0.258503401360543,NaN,NaN
Control,10,ctrl_acute_r10_s03,0.9,797.295989909711,0.543999999999995,NaN,2004.61985656092,0.3675,0.250999999999991,-0.602270731131271,0.480272108843522,NaN,NaN
Control,10,ctrl_acute_r10_s03,1,702.301652290089,0.688499999999981,NaN,2004.61985656092,0.3675,0.250999999999991,-0.649658437737446,0.87346938775505,NaN,NaN
Control,20,ctrl_acute_r20_s01,0,2997.87397513758,0.231,0.0950000000000001,2004.61985656092,0.3675,0.250999999999991,0.495482530179393,-0.371428571428572,-0.621513944223093,0.769741704250189
Control,20,ctrl_acute_r20_s01,0.1,2730.93793895181,0.2405,0.105,2004.61985656092,0.3675,0.250999999999991,0.362322103122805,-0.345578231292517,-0.581673306772893,0.589045456166708
Control,20,ctrl_acute_r20_s01,0.2,2447.41300466196,0.252,0.117,2004.61985656092,0.3675,0.250999999999991,0.220886342441346,-0.314285714285714,-0.533864541832652,0.432577635507384
Control,20,ctrl_acute_r20_s01,0.3,2155.96073133876,0.2655,0.133,2004.61985656092,0.3675,0.250999999999991,0.0754960469350432,-0.277551020408163,-0.470119521912331,0.303746586915509
Control,20,ctrl_acute_r20_s01,0.4,1865.32049966016,0.281,0.155,2004.61985656092,0.3675,0.250999999999991,-0.0694891634665034,-0.235374149659864,-0.382470119521889,0.206513126494467
Control,20,ctrl_acute_r20_s01,0.5,1585.34197461925,0.3005,0.184,2004.61985656092,0.3675,0.250999999999991,-0.209155806059396,-0.182312925170068,-0.266932270916307,0.148236991148959
Control,20,ctrl_acute_r20_s01,0.6,1328.24241978019,0.3255,0.226999999999997,2004.61985656092,0.3675,0.250999999999991,-0.337409327043734,-0.114285714285714,-0.0956175298804582,0.136048990486342
Control,20,ctrl_acute_r20_s01,0.7,1105.19167300059,0.3585,0.294999999999986,2004.61985656092,0.3675,0.250999999999991,-0.448677678521736,-0.0244897959183674,0.175298804780862,0.232641080265376
Control,20,ctrl_acute_r20_s01,0.8,925.59613785468,0.4055,0.422999999999967,2004.61985656092,0.3675,0.250999999999991,-0.538268497727738,0.103401360544218,0.685258964143355,0.770004664947294
Control,20,ctrl_acute_r20_s01,0.9,795.693625125111,0.482999999999999,NaN,2004.61985656092,0.3675,0.250999999999991,-0.603070067114777,0.314285714285711,NaN,NaN
Control,20,ctrl_acute_r20_s01,1,711.719032441088,0.635499999999987,NaN,2004.61985656092,0.3675,0.250999999999991,-0.644960599331737,0.729251700680235,NaN,NaN
H251N,10,hcm_acute_r10_s02,0,8319.29811573164,0.345,0.350999999999983,4828.25398886751,0.4145,0.16099999999999,0.723044838758155,-0.16767189384801,1.18012422360251,1.94360088597482
H251N,10,hcm_acute_r10_s02,0.1,7603.73006446759,0.3305,0.257999999999995,4828.25398886751,0.4145,0.16099999999999,0.574840528687904,-0.202653799758745,0.602484472049754,0.734497735039917
H251N,10,hcm_acute_r10_s02,0.2,6913.67387082225,0.3195,0.222999999999999,4828.25398886751,0.4145,0.16099999999999,0.431920086798061,-0.2291917973462,0.385093167701943,0.387380589161143
H251N,10,hcm_acute_r10_s02,0.3,6253.7404549892,0.312,0.206,4828.25398886751,0.4145,0.16099999999999,0.295238500171787,-0.247285886610374,0.279503105590142,0.226438067734899
H251N,10,hcm_acute_r10_s02,0.4,5627.86230832615,0.305,0.197,4828.25398886751,0.4145,0.16099999999999,0.165610243641344,-0.264173703256936,0.223602484472126,0.147212569353536
H251N,10,hcm_acute_r10_s02,0.5,5039.15031387266,0.2995,0.194,4828.25398886751,0.4145,0.16099999999999,0.0436796252830561,-0.277442702050664,0.204968944099454,0.120894630631286
H251N,10,hcm_acute_r10_s02,0.6,4489.91809671075,0.2955,0.193,4828.25398886751,0.4145,0.16099999999999,-0.0700741702770519,-0.287092882991556,0.19875776397523,0.126837361544854
H251N,10,hcm_acute_r10_s02,0.7,3981.69423589917,0.292,0.195,4828.25398886751,0.4145,0.16099999999999,-0.175334552598155,-0.295536791314837,0.211180124223678,0.162681245222593
H251N,10,hcm_acute_r10_s02,0.8,3515.25462495651,0.289,0.197,4828.25398886751,0.4145,0.16099999999999,-0.271940823108804,-0.302774427020507,0.223602484472126,0.215622235992797
H251N,10,hcm_acute_r10_s02,0.9,3090.58732093337,0.2875,0.2,4828.25398886751,0.4145,0.16099999999999,-0.359895455363506,-0.306393244873341,0.242236024844798,0.28207985102793
H251N,10,hcm_acute_r10_s02,1,2706.93889083449,0.286,0.204,4828.25398886751,0.4145,0.16099999999999,-0.43935449604021,-0.310012062726176,0.267080745341694,0.36047197675876
H251N,20,hcm_acute_r20_s01,0,6140.18278231549,0.2545,0.0850000000000001,4828.25398886751,0.4145,0.16099999999999,0.271719092755453,-0.386007237635706,-0.472049689440961,0.445663762176302
H251N,20,hcm_acute_r20_s01,0.1,6399.93596312625,0.2715,0.111,4828.25398886751,0.4145,0.16099999999999,0.325517667024677,-0.344993968636912,-0.310559006211137,0.321429486279884
H251N,20,hcm_acute_r20_s01,0.2,6354.01689894516,0.2865,0.154,4828.25398886751,0.4145,0.16099999999999,0.316007176423525,-0.308805790108565,-0.0434782608695059,0.197111910723981
H251N,20,hcm_acute_r20_s01,0.3,6159.16476665143,0.3,0.221,4828.25398886751,0.4145,0.16099999999999,0.275650531403816,-0.276236429433052,0.372670807453501,0.291173311137172
H251N,20,hcm_acute_r20_s01,0.4,5874.07235658011,0.312,0.288999999999992,4828.25398886751,0.4145,0.16099999999999,0.216603842739827,-0.247285886610374,0.795031055900681,0.740141914252891
H251N,20,hcm_acute_r20_s01,0.5,5497.24762840539,0.321,0.328999999999987,4828.25398886751,0.4145,0.16099999999999,0.138558087681464,-0.225572979493365,1.04347826086961,1.15892839364692
