run_id,genotype,ratio,restart,best_error,aic,boundary_count,boundary_parameters,k_1,k_2,k_3,k_5_0,k_4_0,k_7_3,k_1_fold,k_3_fold,k_5_0_fold,k_4_0_fold,k_7_3_fold,peak,time_to_peak,relax_half_time,peak_error,tpeak_error,relax_error,total_score,srx_rest,srx_peak
ctrl_acute_r10_s01,Control,10,1,0.3155883099,-1150.236632,3,k_3 low; k_4_0 high; k_7_3 high,1.11335,11.1335,2.52074,41.6186,518.967,81.0587,0.198608217262245,0.100261318844788,0.173031605730773,9.99778455041785,9.99880347953087,22.3170028175936,0.0905,0.134,-0.985283018568733,-0.833179723502304,-0.639784946236519,2.07429585576616,0.921005721724043,0.920691052788855
ctrl_acute_r10_s02,Control,10,2,0.3155527774,-1150.349905,2,k_1 high; k_3 low,55.8363,558.363,2.51426,28.7585,417.298,12.2005,9.9605227480306,0.100003579710203,0.119565036628057,8.03915373678918,1.50496370965752,19.9548095119279,0.0899999999999999,0.135,-0.986840770534833,-0.834101382488479,-0.637096774193508,2.07547212234675,0.921432684398874,0.919638155445364
ctrl_acute_r10_s03,Control,10,3,0.03527982135,-3354.510776,0,none,1.7616,17.616,23.8844,28.5383,23.9971,22.2697,0.314248201849526,0.949991448470072,0.118649543084739,0.462298827545552,2.74702596819476,702.301652290089,0.688499999999981,NaN,-0.536866107855988,0.269124423963105,NaN,NaN,0.872344244032511,0.846377117367373
ctrl_acute_r10_s04,Control,10,4,0.03730348833,-3298.400446,1,k_1 high,56.0576,560.576,10.5865,31.6779,10.2427,34.9283,10,0.421073356216962,0.131702601797727,0.197323351609187,4.30849751567812,707.855300678704,0.751999999999975,NaN,-0.533203745984232,0.386175115207332,NaN,NaN,0.882679095461608,0.868772039265865
ctrl_acute_r20_s01,Control,20,1,0.03380076693,-3397.595417,0,none,1.24884,24.9768,65.4365,34.5892,33.9904,2.18891,0.222777999771663,2.60270785189546,0.143806490774386,0.654817543278326,0.270007795885943,711.719032441088,0.635499999999987,NaN,-0.53065580220042,0.171428571428552,NaN,NaN,0.908213858773627,0.879351097000111
ctrl_acute_r20_s02,Control,20,2,0.08808953499,-2433.977948,2,k_1 low; k_4_0 low,0.561573,11.2315,6.301,34.8171,5.19082,18.6181,0.100177852779998,0.250619488737834,0.144753997488837,0.1,2.2965915202471,439.148526657404,0.498999999999997,NaN,-0.710402836563251,-0.0801843317972369,NaN,NaN,0.946606686595808,0.928174463620979
hcm_acute_r10_s01,H251N,10,1,0.004572344114,-4828.180885,0,none,4.71581,47.1581,5.1503,302.26,6.50862,11.6909,0.278174568062904,0.328645358074952,0.26444907172479,0.648669497099803,2.38233903637831,2657.28910329233,0.284,0.216,-0.112642412922726,-0.147147147147148,0.588235294117647,0.380361357348273,0.891835824126359,0.829882304726023
hcm_acute_r10_s02,H251N,10,2,0.004207244641,-4902.910698,0,none,4.10435,41.0435,6.30022,278.565,10.344,6.42801,0.242105977218968,0.402022806021198,0.243718175296156,1.0309155055911,1.30988197223739,2706.93889083449,0.286,0.204,-0.0960626905215279,-0.141141141141141,0.5,0.279148862232858,0.890596102745886,0.824862976499545
hcm_acute_r20_s01,H251N,20,1,0.00154732137,-5801.164532,0,none,5.61384,112.277,64.9226,166.195,83.3593,42.8647,0.331147250880391,4.14277054232897,0.145404993963149,8.30784946879547,8.73484916410587,2970.75625537457,0.299,0.186,-0.00796526079988865,-0.102102102102103,0.367647058823529,0.14565264449487,0.922950646284885,0.840948289070866
hcm_acute_r20_s02,H251N,20,2,0.00311084106,-5174.030213,1,k_1 low,1.77468,35.4936,16.7481,289.352,18.4444,4.96103,0.104684209594932,1.06871159380524,0.253155785753032,1.83822679343818,1.01094487418795,2825.92296083268,0.2895,0.191,-0.0563299353902132,-0.130630630630631,0.404411764705882,0.183786298712548,0.935098911352418,0.874929686475871
