genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
Control,10,0.1,0.1,0.1,0.560576,5.60576,2.51417,24.0526,144.596873197363,0.1785,0.0830000000000001,0.918571628671675,0.912944412452337,peak,1244.78417294406,0.223,0.0600000000000001,-0.883837795868359,-0.199551569506727,0.383333333333333,0.967934522742482
Control,10,0.1,0.1,0.1,0.560576,5.60576,2.51417,24.0526,144.596873197363,0.1785,0.0830000000000001,0.918571628671675,0.912944412452337,p95,1253.02908624207,0.223,0.0600000000000001,-0.88460214149456,-0.199551569506727,0.383333333333333,0.969286222073804
Control,10,0.1,0.1,0.1,0.560576,5.60576,2.51417,24.0526,144.596873197363,0.1785,0.0830000000000001,0.918571628671675,0.912944412452337,least_squares,858.445618379239,0.223,0.0600000000000001,-0.831559658408689,-0.199551569506727,0.383333333333333,0.878256738829818
Control,10,0.1,0.1,0.316227766016838,0.560576,5.60576,2.51417,76.060999648966,379.809108790126,0.1695,0.0850000000000001,0.918321948728559,0.911891265586192,peak,1244.78417294406,0.223,0.0600000000000001,-0.694879548563159,-0.239910313901345,0.416666666666667,0.714025656838693
Control,10,0.1,0.1,0.316227766016838,0.560576,5.60576,2.51417,76.060999648966,379.809108790126,0.1695,0.0850000000000001,0.918321948728559,0.911891265586192,p95,1253.02908624207,0.223,0.0600000000000001,-0.696887236728716,-0.239910313901345,0.416666666666667,0.716819890542738
Control,10,0.1,0.1,0.316227766016838,0.560576,5.60576,2.51417,76.060999648966,379.809108790126,0.1695,0.0850000000000001,0.918321948728559,0.911891265586192,least_squares,858.445618379239,0.223,0.0600000000000001,-0.557561829592406,-0.239910313901345,0.416666666666667,0.542043263645784
Control,10,0.1,0.1,1,0.560576,5.60576,2.51417,240.526,797.022209016084,0.157,0.0890000000000001,0.917922872724111,0.910125382879817,peak,1244.78417294406,0.223,0.0600000000000001,-0.3597105214384,-0.295964125560538,0.483333333333333,0.450597533963411
Control,10,0.1,0.1,1,0.560576,5.60576,2.51417,240.526,797.022209016084,0.157,0.0890000000000001,0.917922872724111,0.910125382879817,p95,1253.02908624207,0.223,0.0600000000000001,-0.363923616963741,-0.295964125560538,0.483333333333333,0.453646273713897
Control,10,0.1,0.1,1,0.560576,5.60576,2.51417,240.526,797.022209016084,0.157,0.0890000000000001,0.917922872724111,0.910125382879817,least_squares,858.445618379239,0.223,0.0600000000000001,-0.0715518933850734,-0.295964125560538,0.483333333333333,0.326325548176914
Control,10,0.1,0.1,3.16227766016838,0.560576,5.60576,2.51417,760.60999648966,1291.13276226441,0.148,0.0890000000000001,0.917483035097602,0.907929574711847,peak,1244.78417294406,0.223,0.0600000000000001,0.037234237330263,-0.336322869955157,0.483333333333333,0.348110572395551
Control,10,0.1,0.1,3.16227766016838,0.560576,5.60576,2.51417,760.60999648966,1291.13276226441,0.148,0.0890000000000001,0.917483035097602,0.907929574711847,p95,1253.02908624207,0.223,0.0600000000000001,0.0304092510227516,-0.336322869955157,0.483333333333333,0.347648906513749
Control,10,0.1,0.1,3.16227766016838,0.560576,5.60576,2.51417,760.60999648966,1291.13276226441,0.148,0.0890000000000001,0.917483035097602,0.907929574711847,least_squares,858.445618379239,0.223,0.0600000000000001,0.504035590165975,-0.336322869955157,0.483333333333333,0.600776060119947
Control,10,0.1,0.1,10,0.560576,5.60576,2.51417,2405.26,1723.07528077919,0.144,0.0870000000000001,0.917118114759593,0.905926264333521,peak,1244.78417294406,0.223,0.0600000000000001,0.384236173813098,-0.354260089686099,0.45,0.475637648410932
Control,10,0.1,0.1,10,0.560576,5.60576,2.51417,2405.26,1723.07528077919,0.144,0.0870000000000001,0.917118114759593,0.905926264333521,p95,1253.02908624207,0.223,0.0600000000000001,0.375127919773054,-0.354260089686099,0.45,0.468721167337661
Control,10,0.1,0.1,10,0.560576,5.60576,2.51417,2405.26,1723.07528077919,0.144,0.0870000000000001,0.917118114759593,0.905926264333521,least_squares,858.445618379239,0.223,0.0600000000000001,1.00720376910116,-0.354260089686099,0.45,1.34245964363599
Control,10,0.1,0.316227766016838,0.1,0.560576,5.60576,7.95050362486553,24.0526,271.388045606494,0.2175,0.0940000000000001,0.915238205963673,0.897782873962565,peak,1244.78417294406,0.223,0.0600000000000001,-0.781979839151851,-0.0246636771300446,0.566666666666667,0.933211876920641
Control,10,0.1,0.316227766016838,0.1,0.560576,5.60576,7.95050362486553,24.0526,271.388045606494,0.2175,0.0940000000000001,0.915238205963673,0.897782873962565,p95,1253.02908624207,0.223,0.0600000000000001,-0.783414408662765,-0.0246636771300446,0.566666666666667,0.935457543781116
Control,10,0.1,0.316227766016838,0.1,0.560576,5.60576,7.95050362486553,24.0526,271.388045606494,0.2175,0.0940000000000001,0.915238205963673,0.897782873962565,least_squares,858.445618379239,0.223,0.0600000000000001,-0.683861109200045,-0.0246636771300446,0.566666666666667,0.789385424757002
Control,10,0.1,0.316227766016838,0.316227766016838,0.560576,5.60576,7.95050362486553,76.060999648966,758.530364620672,0.209,0.0910000000000001,0.91439875163576,0.895053406767417,peak,1244.78417294406,0.223,0.0600000000000001,-0.390633026103908,-0.062780269058296,0.516666666666667,0.423479967710573
Control,10,0.1,0.316227766016838,0.316227766016838,0.560576,5.60576,7.95050362486553,76.060999648966,758.530364620672,0.209,0.0910000000000001,0.91439875163576,0.895053406767417,p95,1253.02908624207,0.223,0.0600000000000001,-0.394642651994965,-0.062780269058296,0.516666666666667,0.426628629401095
Control,10,0.1,0.316227766016838,0.316227766016838,0.560576,5.60576,7.95050362486553,76.060999648966,758.530364620672,0.209,0.0910000000000001,0.91439875163576,0.895053406767417,least_squares,858.445618379239,0.223,0.0600000000000001,-0.116390894914472,-0.062780269058296,0.516666666666667,0.284432647046468
Control,10,0.1,0.316227766016838,1,0.560576,5.60576,7.95050362486553,240.526,1736.74610009134,0.1965,0.0870000000000001,0.913050695705831,0.890014496499036,peak,1244.78417294406,0.223,0.0600000000000001,0.39521865544268,-0.118834080717489,0.45,0.37281932434989
Control,10,0.1,0.316227766016838,1,0.560576,5.60576,7.95050362486553,240.526,1736.74610009134,0.1965,0.0870000000000001,0.913050695705831,0.890014496499036,p95,1253.02908624207,0.223,0.0600000000000001,0.386038136832062,-0.118834080717489,0.45,0.36564698182874
Control,10,0.1,0.316227766016838,1,0.560576,5.60576,7.95050362486553,240.526,1736.74610009134,0.1965,0.0870000000000001,0.913050695705831,0.890014496499036,least_squares,858.445618379239,0.223,0.0600000000000001,1.02312885395157,-0.118834080717489,0.45,1.26341419052823
Control,10,0.1,0.316227766016838,3.16227766016838,0.560576,5.60576,7.95050362486553,760.60999648966,2979.93923945284,0.188,0.0810000000000001,0.911565299367505,0.883613562612661,peak,1244.78417294406,0.223,0.0600000000000001,1.39394049524661,-0.15695067264574,0.35,2.0902036179323
