genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
Control,10,k_1,0.1,0.560576,1,2716.46959720295,0.2515,0.178,0.337,0.893896204688576,0.846146740463983,peak,1244.78417294406,0.223,0.0600000000000001,1.18228160049479,0.12780269058296,1.96666666666667,5.28190108836655
Control,10,k_1,0.1,0.560576,1,2716.46959720295,0.2515,0.178,0.337,0.893896204688576,0.846146740463983,p95,1253.02908624207,0.223,0.0600000000000001,1.16792221906824,0.12780269058296,1.96666666666667,5.24815361529129
Control,10,k_1,0.1,0.560576,1,2716.46959720295,0.2515,0.178,0.337,0.893896204688576,0.846146740463983,least_squares,858.445618379239,0.223,0.0600000000000001,2.16440498855559,0.12780269058296,1.96666666666667,8.56876025998234
Control,10,k_1,0.215443469003188,1.20772438079931,1,3225.5658081755,0.2725,0.189,0.356,0.889498307212712,0.809723951938357,peak,1244.78417294406,0.223,0.0600000000000001,1.59126511911431,0.221973094170404,2.15,7.20389673384546
Control,10,k_1,0.215443469003188,1.20772438079931,1,3225.5658081755,0.2725,0.189,0.356,0.889498307212712,0.809723951938357,p95,1253.02908624207,0.223,0.0600000000000001,1.57421463203956,0.221973094170404,2.15,7.14992376226303
Control,10,k_1,0.215443469003188,1.20772438079931,1,3225.5658081755,0.2725,0.189,0.356,0.889498307212712,0.809723951938357,least_squares,858.445618379239,0.223,0.0600000000000001,2.75744920716751,0.221973094170404,2.15,12.2752981846443
Control,10,k_1,0.464158883361278,2.60196330199132,1,3669.0038546244,0.28,0.171,0.34,0.888085477608116,0.790802298852126,peak,1244.78417294406,0.223,0.0600000000000001,1.94750201229405,0.255605381165919,1.85,7.28059819877035
Control,10,k_1,0.464158883361278,2.60196330199132,1,3669.0038546244,0.28,0.171,0.34,0.888085477608116,0.790802298852126,p95,1253.02908624207,0.223,0.0600000000000001,1.92810749160502,0.255605381165919,1.85,7.20543261006439
Control,10,k_1,0.464158883361278,2.60196330199132,1,3669.0038546244,0.28,0.171,0.34,0.888085477608116,0.790802298852126,least_squares,858.445618379239,0.223,0.0600000000000001,3.27400848239117,0.255605381165919,1.85,14.2069656536503
Control,10,k_1,1,5.60576,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,peak,1244.78417294406,0.223,0.0600000000000001,2.13337778218113,0.246636771300449,1.61666666666667,7.2257415695727
Control,10,k_1,1,5.60576,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,p95,1253.02908624207,0.223,0.0600000000000001,2.11276020160966,0.246636771300449,1.61666666666667,7.13819647757431
Control,10,k_1,1,5.60576,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,least_squares,858.445618379239,0.223,0.0600000000000001,3.54353658240765,0.246636771300449,1.61666666666667,15.2310923189299
Control,10,k_1,2.15443469003188,12.0772438079931,1,3984.59855251951,0.274,0.15,0.317,0.887504157224146,0.789613799522321,peak,1244.78417294406,0.223,0.0600000000000001,2.20103568082447,0.228699551569506,1.5,7.14686155315051
Control,10,k_1,2.15443469003188,12.0772438079931,1,3984.59855251951,0.274,0.15,0.317,0.887504157224146,0.789613799522321,p95,1253.02908624207,0.223,0.0600000000000001,2.17997291225667,0.228699551569506,1.5,7.05458538306092
Control,10,k_1,2.15443469003188,12.0772438079931,1,3984.59855251951,0.274,0.15,0.317,0.887504157224146,0.789613799522321,least_squares,858.445618379239,0.223,0.0600000000000001,3.64164353246104,0.228699551569506,1.5,15.5638711024034
Control,10,k_1,4.64158883361278,26.0196330199132,1,4013.61346033399,0.272,0.147,0.314,0.887427054194806,0.791004239912955,peak,1244.78417294406,0.223,0.0600000000000001,2.22434486842914,0.219730941704035,1.45,7.09849178044917
Control,10,k_1,4.64158883361278,26.0196330199132,1,4013.61346033399,0.272,0.147,0.314,0.887427054194806,0.791004239912955,p95,1253.02908624207,0.223,0.0600000000000001,2.20312872574341,0.219730941704035,1.45,7.0045578689379
Control,10,k_1,4.64158883361278,26.0196330199132,1,4013.61346033399,0.272,0.147,0.314,0.887427054194806,0.791004239912955,least_squares,858.445618379239,0.223,0.0600000000000001,3.67544288700752,0.219730941704035,1.45,15.6596621023963
Control,10,k_1,10,56.0576,1,4024.57478542214,0.271,0.146,0.312,0.887391120694969,0.791790715017394,peak,1244.78417294406,0.223,0.0600000000000001,2.23315067213905,0.215246636771301,1.43333333333333,7.08773748356091
Control,10,k_1,10,56.0576,1,4024.57478542214,0.271,0.146,0.312,0.887391120694969,0.791790715017394,p95,1253.02908624207,0.223,0.0600000000000001,2.21187658739204,0.215246636771301,1.43333333333333,6.99317359693885
Control,10,k_1,10,56.0576,1,4024.57478542214,0.271,0.146,0.312,0.887391120694969,0.791790715017394,least_squares,858.445618379239,0.223,0.0600000000000001,3.68821169245481,0.215246636771301,1.43333333333333,15.7036810474461
Control,10,k_3,0.1,2.51417,1,911.864509820806,0.161,0.0850000000000001,0.2,0.919323155812259,0.897614695790527,peak,1244.78417294406,0.223,0.0600000000000001,-0.267451716015845,-0.278026905829597,0.416666666666667,0.322440491876111
Control,10,k_3,0.1,2.51417,1,911.864509820806,0.161,0.0850000000000001,0.2,0.919323155812259,0.897614695790527,p95,1253.02908624207,0.223,0.0600000000000001,-0.272271873148964,-0.278026905829597,0.416666666666667,0.325042044384336
Control,10,k_3,0.1,2.51417,1,911.864509820806,0.161,0.0850000000000001,0.2,0.919323155812259,0.897614695790527,least_squares,858.445618379239,0.223,0.0600000000000001,0.0622274612367677,-0.278026905829597,0.416666666666667,0.254782328408264
Control,10,k_3,0.215443469003188,5.41661506463746,1,1708.1230850279,0.189,0.0810000000000001,0.208,0.916496499200467,0.874139445229695,peak,1244.78417294406,0.223,0.0600000000000001,0.372224295709018,-0.152466367713005,0.35,0.284296919599672
Control,10,k_3,0.215443469003188,5.41661506463746,1,1708.1230850279,0.189,0.0810000000000001,0.208,0.916496499200467,0.874139445229695,p95,1253.02908624207,0.223,0.0600000000000001,0.363195079653488,-0.152466367713005,0.35,0.277656659168101
Control,10,k_3,0.215443469003188,5.41661506463746,1,1708.1230850279,0.189,0.0810000000000001,0.208,0.916496499200467,0.874139445229695,least_squares,858.445618379239,0.223,0.0600000000000001,0.989786013763881,-0.152466367713005,0.35,1.12542234632619
Control,10,k_3,0.464158883361278,11.6697433978042,1,2774.85142080732,0.2225,0.0900000000000001,0.23,0.90950543993883,0.837697710670933,peak,1244.78417294406,0.223,0.0600000000000001,1.22918276205623,-0.00224215246636796,0.5,1.76089528978387
Control,10,k_3,0.464158883361278,11.6697433978042,1,2774.85142080732,0.2225,0.0900000000000001,0.23,0.90950543993883,0.837697710670933,p95,1253.02908624207,0.223,0.0600000000000001,1.21451477166369,-0.00224215246636796,0.5,1.72505115783699
Control,10,k_3,0.464158883361278,11.6697433978042,1,2774.85142080732,0.2225,0.0900000000000001,0.23,0.90950543993883,0.837697710670933,least_squares,858.445618379239,0.223,0.0600000000000001,2.2324137503856,-0.00224215246636796,0.5,5.23367618015837
Control,10,k_3,1,25.1417,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,peak,1244.78417294406,0.223,0.0600000000000001,2.13337778218113,0.246636771300449,1.61666666666667,7.2257415695727
Control,10,k_3,1,25.1417,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,p95,1253.02908624207,0.223,0.0600000000000001,2.11276020160966,0.246636771300449,1.61666666666667,7.13819647757431
Control,10,k_3,1,25.1417,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614,least_squares,858.445618379239,0.223,0.0600000000000001,3.54353658240765,0.246636771300449,1.61666666666667,15.2310923189299
Control,10,k_3,2.15443469003188,54.1661506463746,0,6375.00687517735,0.738999999999976,NaN,NaN,0.781348909868573,0.666644558945219,peak,1244.78417294406,0.223,0.0600000000000001,NaN,NaN,NaN,Inf
