genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak
Control,10,k_1,0.1,0.560576,1,2716.46959720295,0.2515,0.178,0.337,0.893896204688576,0.846146740463983
Control,10,k_1,0.215443469003188,1.20772438079931,1,3225.5658081755,0.2725,0.189,0.356,0.889498307212712,0.809723951938357
Control,10,k_1,0.464158883361278,2.60196330199132,1,3669.0038546244,0.28,0.171,0.34,0.888085477608116,0.790802298852126
Control,10,k_1,1,5.60576,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614
Control,10,k_1,2.15443469003188,12.0772438079931,1,3984.59855251951,0.274,0.15,0.317,0.887504157224146,0.789613799522321
Control,10,k_1,4.64158883361278,26.0196330199132,1,4013.61346033399,0.272,0.147,0.314,0.887427054194806,0.791004239912955
Control,10,k_1,10,56.0576,1,4024.57478542214,0.271,0.146,0.312,0.887391120694969,0.791790715017394
Control,10,k_3,0.1,2.51417,1,911.864509820806,0.161,0.0850000000000001,0.2,0.919323155812259,0.897614695790527
Control,10,k_3,0.215443469003188,5.41661506463746,1,1708.1230850279,0.189,0.0810000000000001,0.208,0.916496499200467,0.874139445229695
Control,10,k_3,0.464158883361278,11.6697433978042,1,2774.85142080732,0.2225,0.0900000000000001,0.23,0.90950543993883,0.837697710670933
Control,10,k_3,1,25.1417,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614
Control,10,k_3,2.15443469003188,54.1661506463746,0,6375.00687517735,0.738999999999976,NaN,NaN,0.781348909868573,0.666644558945219
Control,10,k_3,4.64158883361278,116.697433978042,0,9476.97162585211,0.768999999999973,NaN,NaN,0.566420205676091,0.487160013019488
Control,10,k_3,10,251.417,0,11067.2881869127,0.770999999999973,NaN,NaN,0.444056959336923,0.404083473972584
Control,10,k_5_0,0.1,24.0526,1,463.569872374597,0.2885,0.155,0.325,0.901605326514142,0.854837009711598
Control,10,k_5_0,0.215443469003188,51.8197558254609,1,986.415849948958,0.286,0.156,0.325,0.898657480584889,0.842199609461361
Control,10,k_5_0,0.464158883361278,111.642279579355,1,2044.81696027849,0.282,0.157,0.325,0.893973881627256,0.820432365952997
Control,10,k_5_0,1,240.526,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614
Control,10,k_5_0,2.15443469003188,518.197558254609,1,6370.17088824903,0.2745,0.147,0.317,0.880551704415727,0.753969468126182
Control,10,k_5_0,4.64158883361278,1116.42279579355,1,8894.39405764074,0.271,0.129,0.3,0.87369161088702,0.724739215529292
Control,10,k_5_0,10,2405.26,1,11084.7360238679,0.2685,0.108,0.28,0.867908222320863,0.703322973843066
Control,10,k_4_0,0.1,5.19082,0,7444.69837445586,0.769999999999973,NaN,NaN,0.783483069745105,0.634884189290846
Control,10,k_4_0,0.215443469003188,11.1832826777113,0,6573.27863790015,0.762999999999973,NaN,NaN,0.807682309383993,0.679637404043165
Control,10,k_4_0,0.464158883361278,24.0936521492939,0,4327.41412521789,0.485499999999997,NaN,NaN,0.847213480828754,0.765426615226462
Control,10,k_4_0,1,51.9082,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614
