genotype,ratio,parameter,valid_count,peak_span,tpeak_span,relax_span,srx_span,best_score,best_fold
Control,10,k_3,4,2.40082949819698,0.524663677130045,1.26666666666667,0.109702153729913,0.284296919599672,0.215443469003188
Control,10,k_4_0,4,2.20576647862869,0.609865470852019,1.33333333333333,0.0973574305790421,0.370786322662413,10
Control,10,k_on,4,3.03132858379604,0.885650224215247,1.53333333333333,0.130279229939525,0.773912899626494,0.215443469003188
Control,10,k_off,4,3.02975405100302,0.91255605381166,1.51666666666667,0.13021675934578,0.798393339142677,4.64158883361278
Control,10,k_7_3,7,1.70134165589422,0.0964125560538114,0.533333333333333,0.0440124314425389,1.38283364037458,0.1
Control,10,k_5_0,7,8.53253630818023,0.089686098654709,0.816666666666667,0.151514035868533,2.68289404463509,0.215443469003188
Control,10,k_force,5,1.09544289254821,0.42152466367713,4.54999999999964,0.132433152266851,3.35836000927022,0.1
Control,10,k_1,7,1.05086907164426,0.127802690582959,0.716666666666667,0.0582341984033683,5.28190108836655,0.1
Control,10,k_7_2,7,0.310216292130747,0.0381165919282509,0.183333333333333,0.0079613321338714,5.51542276614044,0.1
Control,10,k_7_1,7,0.428073494180491,0.0269058295964121,0.316666666666667,0.0122094695412178,6.69172555149448,10
Control,10,k_coop,6,1.516679722249,0.228699551569507,4.91666666666641,0.0114715830349363,6.71548968222921,2.15443469003188
Control,20,k_3,5,2.92952512172346,0.708520179372197,1.91666666666667,0.113010298430184,0.260004975475279,0.215443469003188
Control,20,k_7_3,7,1.29933421085523,0.0426008968609863,0.15,0.0235055299348065,0.261929339344055,0.1
Control,20,k_4_0,5,2.18338768250089,0.701793721973095,1.5,0.0765884168449488,0.265021857132086,4.64158883361278
Control,20,k_on,4,2.35501235379647,0.692825112107623,0.666666666666667,0.0767220142168182,0.311726111751408,0.464158883361278
Control,20,k_off,4,2.35437614324642,0.717488789237668,0.683333333333333,0.076697843789974,0.37169788928001,2.15443469003188
Control,20,k_5_0,7,6.5127356860842,0.089686098654708,0.65,0.0841945867281424,0.535000357423114,0.464158883361278
Control,20,k_1,7,0.768743239446193,0.0358744394618829,0.35,0.0276393880290785,1.24689259228364,0.1
Control,20,k_force,6,1.62634654541945,0.434977578475336,2.61666666666661,0.147534326285478,1.3032377369263,0.1
Control,20,k_7_2,7,0.24549358782048,0.0179372197309417,0.0333333333333333,0.00422079590320301,1.68689558609414,0.1
Control,20,k_7_1,7,0.328812348258382,0.00672645739910289,0.183333333333333,0.0075410199143876,1.79547751119314,10
Control,20,k_coop,7,1.49754400575845,0.112107623318386,2.41666666666667,0.0105168371585657,2.32500997775219,1
H251N,10,k_3,4,2.20581735701416,1.13780918727915,2.05223880597002,0.164283865464279,0.388802234075199,0.1
H251N,10,k_on,4,2.70854768350251,1.81272084805654,2.2238805970148,0.194927819762467,0.754665293000901,0.215443469003188
H251N,10,k_off,4,2.70718281953874,1.86219081272085,2.2238805970148,0.194846838332761,0.776071023016508,4.64158883361278
H251N,10,k_7_3,4,1.71747671358058,0.448763250883393,1.17164179104465,0.0900255047513809,1.34190805225844,0.215443469003188
H251N,10,k_7_2,4,1.69722172280806,0.445229681978799,1.19402985074614,0.0887585293605283,1.34972358841953,0.1
H251N,10,k_force,4,0.832484899354086,0.671378091872792,1.97761194029838,0.122896664653009,1.63919117797099,0.1
H251N,10,k_4_0,4,0.616913175207729,0.886925795053004,2.09701492537301,0.0580103056719601,1.91555923274808,10
H251N,10,k_coop,4,0.718605599242952,0.565371024734983,2.02238805970137,0.00677395989464502,5.94379763500481,2.15443469003188
H251N,10,k_7_1,4,0.112554464861639,0.0353356890459372,0.365671641791001,0.00719989925042941,7.17155767637029,0.1
H251N,10,k_1,4,0.0383459071152312,0.0106007067137805,0.20149253731341,0.00173762088713914,7.40285957736806,10
H251N,10,k_5_0,4,1.79700885990408,0.699646643109541,2.3283582089551,0.0389709675339505,7.44845527733615,2.15443469003188
H251N,20,k_3,4,1.73631245927713,0.625441696113074,0.164179104477612,0.093463934022774,0.368241710415565,0.215443469003188
H251N,20,k_4_0,7,0.764673703692373,0.639575971731448,0.388059701492537,0.045825348733067,0.435052388375838,10
H251N,20,k_on,4,2.01647633306225,1.20141342756184,0.261194029850746,0.106144229222135,0.446811260702761,0.464158883361278
H251N,20,k_7_3,7,1.35868972410401,0.173144876325088,0.305970149253731,0.0496239235804875,0.49618208131447,0.464158883361278
H251N,20,k_off,4,2.01588648784366,1.24734982332155,0.276119402985075,0.10611807448725,0.496281252520839,2.15443469003188
H251N,20,k_7_2,7,1.35957188703276,0.166077738515899,0.298507462686567,0.049346819959176,0.507902776345349,0.215443469003188
H251N,20,k_force,5,1.24498536209065,0.611307420494698,0.604477611940298,0.142889642707242,0.755872815855511,0.1
H251N,20,k_5_0,6,2.26248152369055,0.791519434628974,2.61194029850731,0.0454680190339941,1.22934054176573,0.464158883361278
H251N,20,k_coop,6,1.09917441771739,0.484098939929328,1.9253731343283,0.00896310500844821,1.36689011853793,0.464158883361278
H251N,20,k_1,7,0.307407194395653,0.049469964664311,0.104477611940299,0.0109584504815831,1.38399942978431,0.1
H251N,20,k_7_1,7,0.594542431794115,0.356890459363958,0.0298507462686567,0.0327563524556526,1.52484799206625,4.64158883361278
