run_id,genotype,ratio,restart,best_error,aic,boundary_count,boundary_parameters,k_1,k_2,k_3,k_5_0,k_4_0,k_7_3,k_1_fold,k_3_fold,k_5_0_fold,k_4_0_fold,k_7_3_fold,peak,time_to_peak,relax_half_time,peak_error,tpeak_error,relax_error,total_score,srx_rest,srx_peak
ctrl_acute_r10_s01,Control,10,1,0.02814577987,-4570.769124,2,k_3 low; k_7_3 low,4.17182,41.7182,2.51753,115.003,7.82635,0.812161,0.744202391825551,0.100133642514229,0.478131262316756,0.150772902932485,0.100182191828135,657.268148797389,0.2665,0.205,-0.471982241513504,0.195067264573991,2.41666666666667,6.10109625179027,0.914642518815749,0.889857830407899
ctrl_acute_r10_s02,Control,10,2,0.02794579845,-4579.917636,2,k_1 high; k_3 low,56.0186,560.186,2.51944,63.3561,9.56013,11.8637,9.99304287019066,0.100209611919639,0.263406450861861,0.184173791424091,1.46341854532716,656.875075367602,0.267,0.208,-0.472298017885289,0.197309417040358,2.46666666666667,6.34644086819562,0.914197429358904,0.889184485333815
ctrl_acute_r10_s03,Control,10,3,0.03325590535,-4356.71991,0,none,0.75724,7.5724,150.882,35.0296,313.207,4.44991,0.135082486585227,6.00126483093824,0.145637477861021,6.03386362848259,0.548908082557445,675.718094019982,0.231,0.12,-0.457160438968444,0.0358744394618834,1,1.21028264236452,0.899064012912081,0.848428891151724
ctrl_acute_r10_s04,Control,10,4,0.03104671917,-4444.912324,1,k_7_3 high,0.890451,8.90451,5.68077,54.7921,20.7291,80.9732,0.158845722970659,0.225950114749599,0.227801152474161,0.399341529854628,9.98825683003489,636.532705864826,0.2595,0.166,-0.488640103481272,0.163677130044843,1.76666666666667,3.38667046474102,0.911574837061729,0.880442171864607
ctrl_acute_r20_s01,Control,20,1,0.0278497109,-4584.336646,1,k_7_3 high,2.62066,52.4132,3.48798,65.803,7.27698,81.051,0.467494148875442,0.138732862137405,0.273579571439262,0.140189411306884,9.9978536643131,590.783186226342,0.268,0.23,-0.525393076914634,0.201793721973094,2.83333333333333,8.34453636927536,0.953800592816328,0.931840373492219
ctrl_acute_r20_s02,Control,20,2,0.02710505655,-4619.108879,2,k_1 low; k_7_3 high,0.571257,11.4251,3.27188,104.962,6.37694,80.5229,0.10190536162804,0.130137580195452,0.436385255648038,0.122850339638053,9.93271114268938,716.284980782568,0.245,0.208,-0.424570944625308,0.0986547085201789,2.46666666666667,6.27443768297767,0.954060148658993,0.935822432567455
ctrl_acute_r20_s03,Control,20,3,0.02572645141,-4686.082247,2,k_3 low; k_4_0 low,7.96985,159.397,2.66763,91.453,5.19094,47.1233,1.42172515412718,0.106103803640963,0.380220849305273,0.100002311773477,5.81278278589438,692.805127968297,0.252,0.226,-0.443433534080264,0.130044843049327,2.76666666666667,7.86798940479508,0.954554715720335,0.934913780063048
ctrl_acute_r20_s04,Control,20,4,0.04418957311,-3992.018817,2,k_3 low; k_7_3 high,34.5864,691.728,2.51417,329.276,17.5524,81.0066,6.16979678045439,0.1,1.36898297897109,0.338143106484139,9.99237680773273,1008.89069995019,0.176,0.0920000000000001,-0.189505520813265,-0.210762331838565,0.533333333333333,0.364777547385181,0.9572594683088,0.940068610400595
hcm_acute_r10_s01,H251N,10,1,0.08798413008,-2165.385945,2,k_1 low; k_5_0 high,1.69685,16.9685,2.71235,11421.8,14.4115,13.3846,0.100093200493137,0.173077536643418,9.99300075241911,1.43629532181227,2.72747650448717,3233.71998683829,0.183,0.1,0.0857087968854939,0.293286219081271,-0.253731343283582,0.157742398731037,0.909217865891338,0.864906295098744
hcm_acute_r10_s02,H251N,10,2,0.08710755349,-2174.347451,2,k_1 low; k_5_0 high,1.69777,16.9777,18.5345,11427,4.51146,1.33009,0.10014746913471,1.18270341324587,9.99755026334669,0.449626263230282,0.271042035163796,3090.0564221804,0.1995,0.0940000000000001,0.0374743187686991,0.409893992932861,-0.298507462686567,0.258524115289195,0.901930632342804,0.832760917842901
