id,group_id,alignment_policy,genotype,stage,restart,name,p_raw,p_simulated,normalized_distance,physical_distance,log_distance,fold_distance,lower_bound,upper_bound,physical_value,classification
shared_by_genotype__Control__k123__s01,shared_by_genotype__Control,shared_by_genotype,Control,k123,1,k_1,0.3820281462,0.3820281462,0.3820281462,2.69547195534819,0.764056292285392,5.80839699793039,0.56057599996597,56.0575999578738,3.25604795531416,interior
shared_by_genotype__Control__k123__s01,shared_by_genotype__Control,shared_by_genotype,Control,k123,1,k_2,0.9992463047,0.9992463047,0.000753695300000023,1.9423277458659,0.00150739059977401,1.00347692565594,5.6057599996597,560.575999578738,558.633671832872,near_upper
shared_by_genotype__Control__k123__s01,shared_by_genotype__Control,shared_by_genotype,Control,k123,1,k_3,0.0004591830151,0.0004591830151,0.0004591830151,0.00532212908161744,0.000918366030245929,1.00211685330821,2.51416999986428,251.417000044319,2.5194921289459,near_lower
shared_by_genotype__Control__k123__s02,shared_by_genotype__Control,shared_by_genotype,Control,k123,2,k_1,0.0003579161921,0.0003579161921,0.0003579161921,0.000924739686178566,0.000715832384092684,1.00164962411205,0.56057599996597,56.0575999578738,0.561500739652148,near_lower
shared_by_genotype__Control__k123__s02,shared_by_genotype__Control,shared_by_genotype,Control,k123,2,k_2,0.5462735242,0.5462735242,0.4537264758,63.7658140066922,0.907452951463882,8.08077382715015,5.6057599996597,560.575999578738,69.3715740063518,interior
shared_by_genotype__Control__k123__s02,shared_by_genotype__Control,shared_by_genotype,Control,k123,2,k_3,0.0007991542507,0.0007991542507,0.0007991542507,0.00926979942976436,0.0015983085014799,1.00368702173292,2.51416999986428,251.417000044319,2.52343979929404,near_lower
shared_by_genotype__Control__k123__s03,shared_by_genotype__Control,shared_by_genotype,Control,k123,3,k_1,0.0005005760596,0.0005005760596,0.0005005760596,0.00129375169607959,0.00100115211904988,1.00230789704903,0.56057599996597,56.0575999578738,0.561869751662049,near_lower
shared_by_genotype__Control__k123__s03,shared_by_genotype__Control,shared_by_genotype,Control,k123,3,k_2,0.9871459815,0.9871459815,0.0128540185,32.2202193216973,0.0257080369961437,1.06098205134809,5.6057599996597,560.575999578738,528.35578025704,near_upper
shared_by_genotype__Control__k123__s03,shared_by_genotype__Control,shared_by_genotype,Control,k123,3,k_3,0.2802122448,0.2802122448,0.2802122448,6.62315620323847,0.560424489628021,3.63433109280439,2.51416999986428,251.417000044319,9.13732620310275,interior
shared_by_genotype__Control__k123__s04,shared_by_genotype__Control,shared_by_genotype,Control,k123,4,k_1,4.436030266e-05,4.436030266e-05,4.436030266e-05,0.00011452994343697,8.87206053067283e-05,1.00020430761118,0.56057599996597,56.0575999578738,0.560690529909407,near_lower
shared_by_genotype__Control__k123__s04,shared_by_genotype__Control,shared_by_genotype,Control,k123,4,k_2,0.87414949,0.87414949,0.12585051,246.573229011245,0.251701019962245,1.78525813184902,5.6057599996597,560.575999578738,314.002770567493,interior
shared_by_genotype__Control__k123__s04,shared_by_genotype__Control,shared_by_genotype,Control,k123,4,k_3,0.1756344219,0.1756344219,0.1756344219,3.13082398795656,0.351268843817563,2.24527139697219,2.51416999986428,251.417000044319,5.64499398782084,interior
shared_by_genotype__Control__plus_k50__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,1,k_1,-0.000223018614,0,0,0,0,1,0.56057599996597,56.0575999578738,0.56057599996597,outside_lower
shared_by_genotype__Control__plus_k50__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,1,k_2,0.4857520392,0.4857520392,0.4857520392,46.8917347215544,0.971504078254274,9.36492014007039,5.6057599996597,560.575999578738,52.4974947212141,interior
shared_by_genotype__Control__plus_k50__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,1,k_3,1.000037235,1,0,0,0,1,2.51416999986428,251.417000044319,251.417000044319,outside_upper
shared_by_genotype__Control__plus_k50__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,1,k_5_0,0.2728977037,0.2728977037,0.2728977037,60.4670006517989,0.5457954074,3.51394862266985,24.0526000040455,2405.26000040455,84.5196006558443,interior
shared_by_genotype__Control__plus_k50__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,2,k_1,0.8097704005,0.8097704005,0.1902295995,22.7834254248635,0.380459198942931,2.40137065354395,0.56057599996597,56.0575999578738,23.3440014248295,interior
shared_by_genotype__Control__plus_k50__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,2,k_2,0.3133477328,0.3133477328,0.3133477328,18.126000992217,0.626695465505996,4.233460047044,5.6057599996597,560.575999578738,23.7317609918767,interior
shared_by_genotype__Control__plus_k50__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,2,k_3,0.3430734986,0.3430734986,0.3430734986,9.69093829238196,0.686146997234307,4.85452785328959,2.51416999986428,251.417000044319,12.2051082922462,interior
shared_by_genotype__Control__plus_k50__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,2,k_5_0,0.01578130254,0.01578130254,0.01578130254,1.81312369539625,0.03156260508,1.07538160926849,24.0526000040455,2405.26000040455,25.8657236994417,near_lower
shared_by_genotype__Control__plus_k50__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,3,k_1,0.1425287892,0.1425287892,0.1425287892,0.520091470093205,0.285057578357241,1.92778047958667,0.56057599996597,56.0575999578738,1.08066747005917,interior
shared_by_genotype__Control__plus_k50__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,3,k_2,0.3330252833,0.3330252833,0.3330252833,20.3769871370456,0.666050566500092,4.63500883703237,5.6057599996597,560.575999578738,25.9827471367053,interior
shared_by_genotype__Control__plus_k50__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,3,k_3,0.8381318227,0.8381318227,0.1618681773,116.790731190983,0.323736354616187,2.1073484620899,2.51416999986428,251.417000044319,119.304901190847,interior
