group_id,alignment_policy,genotype,stage,parameter,completed_starts,converged_starts,best_error,median_error,worst_error,near_optimal_starts,solution_clusters,log10_spread_all,log10_spread_near_optimal,near_optimal_fold_spread,boundary_frequency,classification
shared_by_genotype__Control,shared_by_genotype,Control,k123,k_1,4,4,0.3154681796,0.31548331075,0.3155755398,4,4,0.763967571680085,0.763967571680085,5.80721054061723,0.75,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,k123,k_2,4,4,0.3154681796,0.31548331075,0.3155755398,4,4,0.905945560864108,0.905945560864108,8.05277492740358,0.5,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,k123,k_3,4,4,0.3154681796,0.31548331075,0.3155755398,4,4,0.559506123597775,0.559506123597775,3.62665399829037,0.5,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,k_1,4,4,0.02519699736,0.03069887208,0.118527278,1,1,1.61954080075707,0,1,0.25,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,k_2,4,4,0.02519699736,0.03069887208,0.118527278,1,1,0.344808612748279,0,1,0,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,k_3,4,4,0.02519699736,0.03069887208,0.118527278,1,1,1.31385300286569,0,1,0.5,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,k_5_0,4,4,0.02519699736,0.03069887208,0.118527278,1,1,0.51423280232,0,1,0.25,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,k_1,4,4,0.02486696245,0.025372870225,0.3155238905,1,1,0.141104788230182,0,1,0.5,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,k_2,4,4,0.02486696245,0.025372870225,0.3155238905,1,1,1.11728630323241,0,1,0.25,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,k_3,4,4,0.02486696245,0.025372870225,0.3155238905,1,1,1.31032680406552,0,1,0.5,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,k_5_0,4,4,0.02486696245,0.025372870225,0.3155238905,1,1,0.8022535814,0,1,0,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,k_4_0,4,4,0.02486696245,0.025372870225,0.3155238905,1,1,0.530656939120401,0,1,0,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,k_1,8,8,0.02486668556,0.029775362355,0.3155212426,1,1,1.86203524084069,0,1,0.125,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,k_2,8,8,0.02486668556,0.029775362355,0.3155212426,1,1,0.977921385453312,0,1,0.25,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,k_3,8,8,0.02486668556,0.029775362355,0.3155212426,1,1,1.25779239846289,0,1,0.375,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,k_5_0,8,8,0.02486668556,0.029775362355,0.3155212426,1,1,1.17459774787622,0,1,0.25,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,k_4_0,8,8,0.02486668556,0.029775362355,0.3155212426,1,1,1.52518505744646,0,1,0.125,non-identifiable
shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,k_7_3,8,8,0.02486668556,0.029775362355,0.3155212426,1,1,1.99990174661139,0,1,0.375,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,k123,k_1,4,4,0.1857616703,0.1905911955,0.2075003738,1,1,1.62919503384438,0,1,0.75,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,k123,k_2,4,4,0.1857616703,0.1905911955,0.2075003738,1,1,0.9216512302,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,k123,k_3,4,4,0.1857616703,0.1905911955,0.2075003738,1,1,1.62466189691617,0,1,0.25,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,k_1,4,4,0.002746627388,0.002813623658,0.003288768574,1,1,0.970563361501938,0,1,0.75,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,k_2,4,4,0.002746627388,0.002813623658,0.003288768574,1,1,0.8488465864,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,k_3,4,4,0.002746627388,0.002813623658,0.003288768574,1,1,1.3171925537293,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,k_5_0,4,4,0.002746627388,0.002813623658,0.003288768574,1,1,0.0743501151999997,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,k_1,4,4,0.001439208193,0.002010051556,0.004236411747,1,1,1.45121067913264,0,1,0.25,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,k_2,4,4,0.001439208193,0.002010051556,0.004236411747,1,1,0.4426195496,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,k_3,4,4,0.001439208193,0.002010051556,0.004236411747,1,1,1.60783394834196,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,k_5_0,4,4,0.001439208193,0.002010051556,0.004236411747,1,1,0.21629814946,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,k_4_0,4,4,0.001439208193,0.002010051556,0.004236411747,1,1,1.10322824631836,0,1,0.5,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,k_1,8,8,0.001407907081,0.0020602527705,0.004128250658,1,1,1.28736978729311,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,k_2,8,8,0.001407907081,0.0020602527705,0.004128250658,1,1,0.8816466322,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,k_3,8,8,0.001407907081,0.0020602527705,0.004128250658,1,1,1.88895806203224,0,1,0.125,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,k_5_0,8,8,0.001407907081,0.0020602527705,0.004128250658,1,1,0.24562307704,0,1,0,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,k_4_0,8,8,0.001407907081,0.0020602527705,0.004128250658,1,1,1.08752603691952,0,1,0.375,non-identifiable
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,k_7_3,8,8,0.001407907081,0.0020602527705,0.004128250658,1,1,1.19844070877977,0,1,0.125,non-identifiable
independent_trace__Control,independent_trace,Control,k123,k_1,4,4,0.2120789833,0.2178807208,0.2211328904,1,1,0,0,1,1,non-identifiable
independent_trace__Control,independent_trace,Control,k123,k_2,4,4,0.2120789833,0.2178807208,0.2211328904,1,1,1.08782784923683,0,1,0,non-identifiable
independent_trace__Control,independent_trace,Control,k123,k_3,4,4,0.2120789833,0.2178807208,0.2211328904,1,1,0.898460616044923,0,1,0.25,non-identifiable
independent_trace__Control,independent_trace,Control,plus_k50,k_1,4,4,0.01106720942,0.01174454895,0.01201267474,1,1,1.35513484633333,0,1,0.25,non-identifiable
