id,group_id,alignment_policy,genotype,stage,restart,completed,converged,best_error,AIC,n_free_params,exitflag,iterations,func_count,boundary_hit,within_stage_delta_AIC
shared_by_genotype__Control__k123__s01,shared_by_genotype__Control,shared_by_genotype,Control,k123,1,1,1,0.3154982296,-1154.523822,3,1,52,103,1,0.0958219999999983
shared_by_genotype__Control__k123__s02,shared_by_genotype__Control,shared_by_genotype,Control,k123,2,1,1,0.3155755398,-1154.27734,3,1,71,138,1,0.342304000000013
shared_by_genotype__Control__k123__s03,shared_by_genotype__Control,shared_by_genotype,Control,k123,3,1,1,0.3154681796,-1154.619644,3,1,82,151,1,0
shared_by_genotype__Control__k123__s04,shared_by_genotype__Control,shared_by_genotype,Control,k123,4,1,1,0.3154683919,-1154.618967,3,1,77,145,1,0.000676999999996042
shared_by_genotype__Control__plus_k50__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,1,1,1,0.118527278,-2137.407824,4,1,109,208,1,1557.708803
shared_by_genotype__Control__plus_k50__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,2,1,1,0.03459297793,-3376.289195,4,1,142,257,1,318.827432
shared_by_genotype__Control__plus_k50__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,3,1,1,0.02680476623,-3632.890616,4,1,101,176,0,62.2260109999997
shared_by_genotype__Control__plus_k50__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,4,1,1,0.02519699736,-3695.116627,4,1,158,281,1,0
shared_by_genotype__Control__plus_k40__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,1,1,1,0.02486696245,-3706.380457,5,1,120,200,1,0
shared_by_genotype__Control__plus_k40__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,2,1,1,0.02504536061,-3699.189074,5,1,203,339,1,7.19138300000031
shared_by_genotype__Control__plus_k40__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,3,1,1,0.3155238905,-1150.442002,5,1,215,379,1,2555.938455
shared_by_genotype__Control__plus_k40__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,4,1,1,0.02570037984,-3673.217004,5,1,321,517,0,33.1634530000001
shared_by_genotype__Control__plus_k73__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,1,1,1,0.02486668556,-3704.391659,6,1,159,281,1,0
shared_by_genotype__Control__plus_k73__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,2,1,1,0.02627878079,-3648.82744,6,1,428,686,1,55.5642189999999
shared_by_genotype__Control__plus_k73__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,3,1,1,0.3096805659,-1167.247229,6,1,223,393,1,2537.14443
shared_by_genotype__Control__plus_k73__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,4,1,1,0.03506466429,-3358.664739,6,1,183,309,1,345.72692
shared_by_genotype__Control__plus_k73__s05,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,5,1,1,0.03115619178,-3477.554734,6,1,198,326,1,226.836925
shared_by_genotype__Control__plus_k73__s06,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,6,1,1,0.02775997754,-3593.664912,6,1,605,990,1,110.726747
shared_by_genotype__Control__plus_k73__s07,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,7,1,1,0.02839453293,-3570.928007,6,1,591,932,1,133.463652
shared_by_genotype__Control__plus_k73__s08,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,1,1,0.3155212426,-1148.450445,6,1,334,577,1,2555.941214
shared_by_genotype__H251N__k123__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,1,1,1,0.192208305,-1474.959665,3,1,97,178,1,30.635446
shared_by_genotype__H251N__k123__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,2,1,1,0.188974086,-1490.198555,3,1,110,202,1,15.3965560000001
shared_by_genotype__H251N__k123__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,3,1,1,0.1857616703,-1505.595111,3,1,67,126,1,0
shared_by_genotype__H251N__k123__s04,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,4,1,1,0.2075003738,-1406.21468,3,1,63,116,1,99.380431
shared_by_genotype__H251N__plus_k50__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,1,1,1,0.002826030909,-5262.256087,4,1,52,95,1,25.5925219999999
shared_by_genotype__H251N__plus_k50__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,2,1,1,0.002801216407,-5270.17597,4,1,229,398,1,17.6726389999994
shared_by_genotype__H251N__plus_k50__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,3,1,1,0.003288768574,-5126.083386,4,1,60,104,0,161.765222999999
shared_by_genotype__H251N__plus_k50__s04,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,4,1,1,0.002746627388,-5287.848609,4,1,419,705,1,0
shared_by_genotype__H251N__plus_k40__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,1,1,1,0.001485493911,-5837.78315,5,1,342,545,1,28.4254899999996
shared_by_genotype__H251N__plus_k40__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,2,1,1,0.004236411747,-4896.706711,5,1,133,235,0,969.501929
shared_by_genotype__H251N__plus_k40__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,3,1,1,0.002534609201,-5357.988802,5,1,78,137,0,508.219838
shared_by_genotype__H251N__plus_k40__s04,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,4,1,1,0.001439208193,-5866.20864,5,1,381,623,1,0
shared_by_genotype__H251N__plus_k73__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,1,1,1,0.001439208193,-5864.20864,6,1,47,86,1,19.745973
shared_by_genotype__H251N__plus_k73__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,2,1,1,0.004128250658,-4917.931575,6,1,181,297,1,966.023038
shared_by_genotype__H251N__plus_k73__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,3,1,1,0.002793123719,-5268.774038,6,1,472,734,0,615.180575
shared_by_genotype__H251N__plus_k73__s04,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,4,1,1,0.001478349946,-5840.112186,6,1,315,496,1,43.8424269999996
shared_by_genotype__H251N__plus_k73__s05,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,5,1,1,0.001772587429,-5677.112848,6,1,243,399,1,206.841765
shared_by_genotype__H251N__plus_k73__s06,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,6,1,1,0.001407907081,-5883.954613,6,1,483,775,1,0
shared_by_genotype__H251N__plus_k73__s07,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,7,1,1,0.003422017136,-5086.417536,6,1,195,324,0,797.537077
shared_by_genotype__H251N__plus_k73__s08,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,8,1,1,0.002347918112,-5424.695176,6,1,86,148,0,459.259437
independent_trace__Control__k123__s01,independent_trace__Control,independent_trace,Control,k123,1,1,1,0.2159370228,-1419.474682,3,1,103,189,1,16.766073
independent_trace__Control__k123__s02,independent_trace__Control,independent_trace,Control,k123,2,1,1,0.2211328904,-1397.362043,3,1,86,154,1,38.878712
independent_trace__Control__k123__s03,independent_trace__Control,independent_trace,Control,k123,3,1,1,0.2120789833,-1436.240755,3,1,111,205,1,0
independent_trace__Control__k123__s04,independent_trace__Control,independent_trace,Control,k123,4,1,1,0.2198244188,-1402.881317,3,1,122,223,1,33.359438
independent_trace__Control__plus_k50__s01,independent_trace__Control,independent_trace,Control,plus_k50,1,1,1,0.01147909387,-4146.521875,4,1,43,81,1,33.9829679999993
independent_trace__Control__plus_k50__s02,independent_trace__Control,independent_trace,Control,plus_k50,2,1,1,0.01201267474,-4104.267451,4,1,108,184,0,76.237392
independent_trace__Control__plus_k50__s03,independent_trace__Control,independent_trace,Control,plus_k50,3,1,1,0.01106720942,-4180.504843,4,1,144,236,1,0
independent_trace__Control__plus_k50__s04,independent_trace__Control,independent_trace,Control,plus_k50,4,1,1,0.01201000403,-4104.474236,4,1,61,108,0,76.0306069999997
independent_trace__Control__plus_k40__s01,independent_trace__Control,independent_trace,Control,plus_k40,1,1,1,0.01106720942,-4178.504843,5,1,24,49,1,74.531446
independent_trace__Control__plus_k40__s02,independent_trace__Control,independent_trace,Control,plus_k40,2,1,1,0.01215719327,-4091.145849,5,1,86,158,0,161.89044
independent_trace__Control__plus_k40__s03,independent_trace__Control,independent_trace,Control,plus_k40,3,1,1,0.01021487806,-4253.036289,5,1,99,176,1,0
independent_trace__Control__plus_k40__s04,independent_trace__Control,independent_trace,Control,plus_k40,4,1,1,0.01177673168,-4120.715515,5,1,69,124,0,132.320774
independent_trace__Control__plus_k73__s01,independent_trace__Control,independent_trace,Control,plus_k73,1,1,1,0.01019134585,-4253.181219,6,1,391,608,1,0
independent_trace__Control__plus_k73__s02,independent_trace__Control,independent_trace,Control,plus_k73,2,1,1,0.01166966938,-4127.208812,6,1,353,575,1,125.972407
independent_trace__Control__plus_k73__s03,independent_trace__Control,independent_trace,Control,plus_k73,3,1,1,0.01024182317,-4248.586337,6,1,128,215,1,4.59488200000033
independent_trace__Control__plus_k73__s04,independent_trace__Control,independent_trace,Control,plus_k73,4,1,1,0.01122587065,-4163.266885,6,1,411,660,1,89.9143340000001
independent_trace__Control__plus_k73__s05,independent_trace__Control,independent_trace,Control,plus_k73,5,1,1,0.01184639581,-4113.230396,6,1,121,199,0,139.950823
independent_trace__Control__plus_k73__s06,independent_trace__Control,independent_trace,Control,plus_k73,6,1,1,0.01353749085,-3989.131879,6,1,76,134,0,264.04934
independent_trace__Control__plus_k73__s07,independent_trace__Control,independent_trace,Control,plus_k73,7,1,1,0.01171707509,-4123.438525,6,1,174,290,0,129.742694
independent_trace__Control__plus_k73__s08,independent_trace__Control,independent_trace,Control,plus_k73,8,1,1,0.0113616693,-4152.084236,6,1,100,167,0,101.096983
