group_id,alignment_policy,genotype,stage,completed_starts,converged_starts,representative_id,representative_restart,defensible,best_error,median_error,worst_error,best_AIC,near_optimal_starts,solution_clusters,delta_AIC,akaike_weight
shared_by_genotype__Control,shared_by_genotype,Control,k123,4,4,shared_by_genotype__Control__k123__s03,3,1,0.3154681796,0.31548331075,0.3155755398,-1154.619644,4,4,2551.760813,0
shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,4,4,shared_by_genotype__Control__plus_k50__s04,4,1,0.02519699736,0.03069887208,0.118527278,-3695.116627,1,1,11.2638300000003,0.00260767256372432
shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,4,4,shared_by_genotype__Control__plus_k40__s01,1,1,0.02486696245,0.025372870225,0.3155238905,-3706.380457,1,1,0,0.728052445019008
shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,8,shared_by_genotype__Control__plus_k73__s01,1,1,0.02486668556,0.029775362355,0.3155212426,-3704.391659,1,1,1.98879800000032,0.269339882417268
shared_by_genotype__H251N,shared_by_genotype,H251N,k123,4,4,shared_by_genotype__H251N__k123__s03,3,1,0.1857616703,0.1905911955,0.2075003738,-1505.595111,1,1,4378.359502,0
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,4,4,shared_by_genotype__H251N__plus_k50__s04,4,1,0.002746627388,0.002813623658,0.003288768574,-5287.848609,1,1,596.106004,3.60715717353451e-130
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,4,4,shared_by_genotype__H251N__plus_k40__s04,4,1,0.001439208193,0.002010051556,0.004236411747,-5866.20864,1,1,17.745973,0.000140103851535637
shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,8,8,shared_by_genotype__H251N__plus_k73__s06,6,1,0.001407907081,0.0020602527705,0.004128250658,-5883.954613,1,1,0,0.999859896148464
independent_trace__Control,independent_trace,Control,k123,4,4,independent_trace__Control__k123__s03,3,1,0.2120789833,0.2178807208,0.2211328904,-1436.240755,1,1,2816.940464,0
independent_trace__Control,independent_trace,Control,plus_k50,4,4,independent_trace__Control__plus_k50__s03,3,1,0.01106720942,0.01174454895,0.01201267474,-4180.504843,1,1,72.6763760000003,8.5693136927734e-17
independent_trace__Control,independent_trace,Control,plus_k40,4,4,independent_trace__Control__plus_k40__s03,3,1,0.01021487806,0.01142197055,0.01215719327,-4253.036289,1,1,0.144930000000386,0.481891673474329
independent_trace__Control,independent_trace,Control,plus_k73,8,8,independent_trace__Control__plus_k73__s01,1,1,0.01019134585,0.01151566934,0.01353749085,-4253.181219,1,1,0,0.518108326525671
