id,group_id,alignment_policy,genotype,stage,restart,target_peak,target_force_rise_time,target_calcium_to_force_lag,target_time_to_peak_argmax,target_time_to_peak_centroid,target_relax_half_time,target_fwhm,target_normalized_rmse,model_peak,model_relative_peak_error_signed,model_force_rise_time,model_calcium_to_force_lag,model_time_to_peak_argmax,model_time_to_peak_centroid,model_relax_half_time,model_fwhm,model_normalized_rmse
shared_by_genotype__Control__k123__s01,shared_by_genotype__Control,shared_by_genotype,Control,k123,1,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,61.4997367362465,-0.959443905125934,0.495,0.015,0.103,0.1095,0.118,0.189,0.561692290847679
shared_by_genotype__Control__k123__s02,shared_by_genotype__Control,shared_by_genotype,Control,k123,2,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,84.062472476634,-0.944564874745202,0.495,0.015,0.114,0.117,0.11,0.191,0.56176110566137
shared_by_genotype__Control__k123__s03,shared_by_genotype__Control,shared_by_genotype,Control,k123,3,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,40.6811077899025,-0.973172781630185,0.495,0.015,0.104,0.1105,0.117,0.189,0.561665540667426
shared_by_genotype__Control__k123__s04,shared_by_genotype__Control,shared_by_genotype,Control,k123,4,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,42.1526934260233,-0.972202342245546,0.495,0.015,0.105,0.1105,0.116,0.189,0.561665729653412
shared_by_genotype__Control__plus_k50__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,1,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,1267.01875982102,-0.164462552890288,0.49,0.01,0.352,0.3555,0.280999999999988,0.489999999999988,0.344277908037887
shared_by_genotype__Control__plus_k50__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,2,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,934.136958596247,-0.383981962708593,0.48,0,1.00499999999995,0.747999999999975,NaN,NaN,0.185991875982614
shared_by_genotype__Control__plus_k50__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,3,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,970.736618293563,-0.359846261487485,0.48,0,0.591999999999992,0.620999999999988,NaN,NaN,0.163721611984487
shared_by_genotype__Control__plus_k50__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k50,4,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,991.440946711891,-0.346192760640177,0.48,0,0.570999999999995,0.591999999999991,NaN,NaN,0.158735620946497
shared_by_genotype__Control__plus_k40__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,1,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,993.069059035143,-0.345119099493779,0.48,0,0.574999999999994,0.596999999999991,NaN,NaN,0.157692620166229
shared_by_genotype__Control__plus_k40__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,2,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,989.063130829482,-0.347760814938258,0.48,0,0.580999999999994,0.60299999999999,NaN,NaN,0.158257260829625
shared_by_genotype__Control__plus_k40__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,3,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,29.8571477996293,-0.98031065849885,0.493,0.013,0.085,0.097,0.129,0.187,0.561715132882614
shared_by_genotype__Control__plus_k40__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,4,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,981.721590598124,-0.352602204803415,0.48,0,0.586999999999993,0.611999999999989,NaN,NaN,0.160313380107886
shared_by_genotype__Control__plus_k73__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,1,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,993.234792083385,-0.345009806583192,0.48,0,0.573999999999994,0.596499999999991,NaN,NaN,0.157691742194317
shared_by_genotype__Control__plus_k73__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,2,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,982.816416595484,-0.351880220135254,0.48,0,0.559999999999996,0.589499999999991,NaN,NaN,0.16210731258456
shared_by_genotype__Control__plus_k73__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,3,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,334.798887497711,-0.77921636472492,0.499,0.019,0.177,0.174,0.105,0.227,0.556489502054409
shared_by_genotype__Control__plus_k73__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,4,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,950.122991161768,-0.373439949233517,0.48,0,1.00499999999995,0.814499999999968,NaN,NaN,0.187255612162134
shared_by_genotype__Control__plus_k73__s05,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,5,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,934.397285646617,-0.383810289639514,0.48,0,0.627999999999988,0.712999999999978,NaN,NaN,0.176511166151024
shared_by_genotype__Control__plus_k73__s06,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,6,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,1002.67476533274,-0.338784601874573,0.48,0,0.523,0.548999999999994,NaN,NaN,0.166613257406074
shared_by_genotype__Control__plus_k73__s07,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,7,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,946.706823640422,-0.375692746098251,0.48,0,0.625999999999989,0.717999999999978,NaN,NaN,0.168506774140492
shared_by_genotype__Control__plus_k73__s08,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,8,1516.41169908529,0.688000000000001,0.208,0.544999999999997,0.542499999999998,0.371999999999959,0.607999999999956,0,33.5230554726954,-0.977893170111443,0.493,0.013,0.093,0.103,0.124,0.187,0.561712775909848
shared_by_genotype__H251N__k123__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,1,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2901.73001656828,-0.0310154274664671,0.497,0.017,0.215,0.2125,0.0780000000000001,0.222,0.43841567603368
shared_by_genotype__H251N__k123__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,2,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2976.7617507715,-0.00595982529871677,0.497,0.017,0.217,0.214,0.0780000000000001,0.223,0.434711497487503
shared_by_genotype__H251N__k123__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,3,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3052.01880391696,0.0191710183896718,0.496,0.016,0.218,0.215,0.0790000000000001,0.226,0.431000777558861
