name,best,mode,peak_elast,peak_fold,peak_dir,relax_elast,relax_fold
passive_hsl_slack,1265,mult,-2.09144586762056,3.07867105748299,down,-1.0777777777777,1.76059850374059
x_ps,5,mult,1.39764052649252,63.1058024121195,up,1.24444444444435,11.6136363636358
cb_number_density,6.9e+16,mult,1.16771136560287,75.9425853086808,up,2.14444444444427,4.71428571428544
k_on,10000000,mult,1.12801744881388,51.3051841052269,up,2.23333333333315,5.05357142857113
k_3,27.0512,mult,1.09661362076203,61.5254579130241,up,2.24444444444427,5.14545454545424
k_off,11.1194,mult,-1.06954432142945,43.1841342547611,down,-2.72222222222199,7.37804878048733
k_1,12.2209,mult,0.889102153150589,29.0721428097852,up,1.68888888888875,4.79279279279253
k_2,122.209,mult,-0.879182352486628,28.5387105238919,down,-1.76666666666653,4.90090090090063
k_4_0,100,mult,-0.741374138619286,27.942834096215,down,-3.59999999999972,6.80612244897913
k_boltzmann,1.38e-23,mult,0.652400556475189,12.1253826945329,up,1.18888888888879,3.70072992700711
temperature,288,mult,0.652400556475189,12.1253826945329,up,1.18888888888879,3.70072992700711
k_cb,0.001,mult,0.518416749267895,12.6107185458154,up,0.922222222222149,3.7923076923075
k_force,0.00015,mult,0.502171604697458,4.14588820914659,up,1.18888888888879,2.49019607843124
compliance_factor,0.5,mult,-0.366831420564798,4.69725090392104,down,0.977777777777701,3.09999999999985
k_coop,1.00805,mult,-0.278876040201115,3.7290120409586,down,-0.988888888888808,5.60674157303342
passive_k_linear,14,mult,-0.143739376360797,2.74749546057553,down,-0.255555555555534,3.22826086956502
k_4_1,0.1,mult,0.0669187306728129,1.75797292220205,up,0.688888888888838,1.79553903345716
max_rate,5000,mult,0.000395634040542988,1.00258352297102,up,-0.0111111111111103,1.02690582959641
