name,best,mode,peak_elast,peak_fold,peak_dir,relax_elast,relax_fold
passive_hsl_slack,1265,mult,-3.97612713438788,6.66572901831667,down,-1.47302904564315,1.34634146341463
x_ps,5,mult,1.41220602774398,99.1952425104732,up,0.829875518672199,1.51149425287356
cb_number_density,6.9e+16,mult,1.3735584004447,150.635919884008,up,1.2448132780083,1.45502645502645
k_3,3.14265,mult,1.33813855540555,131.001503436865,up,1.45228215767633,1.5
k_1,4.71226,mult,1.14264400531397,53.0381938341473,up,1.20331950207469,1.51381215469613
k_4_0,100,mult,-1.13918085863194,63.779804059044,down,-2.28215767634844,1.53921568627449
k_2,47.1226,mult,-1.12397959116392,52.0206698246382,down,-1.32780082987551,1.46596858638743
k_off,23.6975,mult,-1.01687385292013,79.4247094677534,down,NaN,3.765625
k_on,122506000,mult,0.996018945308027,79.6614113870753,up,NaN,3.765625
k_boltzmann,1.38e-23,mult,0.789430584959161,21.8499339447371,up,0.829875518672199,1.54117647058824
temperature,288,mult,0.789430584959161,21.8499339447371,up,0.829875518672199,1.54117647058824
k_cb,0.001,mult,0.587455110278897,17.9866574752425,up,0.477178423236514,1.49112426035503
k_force,0.00015,mult,0.498959438883685,5.7427341117099,up,0.643153526970954,1.40217391304348
compliance_factor,0.5,mult,-0.192297314841199,2.40364630310474,down,0.497925311203319,1.54268292682927
passive_k_linear,14,mult,-0.16808935543392,3.14746584764311,down,-0.145228215767635,1.67251461988303
k_4_1,0.1,mult,0.0936967106947977,2.55241270106543,up,0.456431535269709,1.43181818181818
k_coop,19.9526,mult,0.0782256821245799,1.44255673370275,up,0.0829875518672199,1.04741379310345
max_rate,5000,mult,-2.3089908429638e-05,1.00007580317054,down,-0.020746887966805,1.01673640167364
