param,best,x_value,peak_force
k_on,53523000,5352300,470.657141557741
k_on,53523000,11531180.7914577,1044.28158286473
k_on,53523000,24843175.9141457,4075.79971332584
k_on,53523000,53523000,11651.88496925
k_on,53523000,115311807.914577,35937.4226669006
k_on,53523000,248431759.141457,36877.3513140978
k_on,53523000,535230000,37069.5919256664
k_off,21.7824,2.17824,37042.2399696806
k_off,21.7824,4.69287581921505,36846.902833117
k_off,21.7824,10.1104944609287,35864.5069736116
k_off,21.7824,21.7824,11651.88496925
k_off,21.7824,46.9287581921505,4162.09716047933
k_off,21.7824,101.104944609287,1050.59752418184
k_off,21.7824,217.824,472.233367985005
x_ps,5,0.5,2668.48744942665
x_ps,5,1.07721734501594,3934.25956838052
x_ps,5,2.32079441680639,6712.44773988013
x_ps,5,5,11651.88496925
x_ps,5,10.7721734501594,9070.03377656576
x_ps,5,23.2079441680639,182.120821229649
x_ps,5,50,-37.9744855122349
cb_number_density,6.9e+16,6.9e+15,2060.11478855559
cb_number_density,6.9e+16,1.486559936122e+16,4009.92428822859
cb_number_density,6.9e+16,3.20269629519282e+16,7127.55960201365
cb_number_density,6.9e+16,6.9e+16,11651.88496925
cb_number_density,6.9e+16,1.486559936122e+17,22872.5884604858
cb_number_density,6.9e+16,3.20269629519282e+17,40596.6620814037
cb_number_density,6.9e+16,6.9e+17,58811.6851837954
k_3,26.4756,2.64756,2650.33913702089
k_3,26.4756,5.70399510794081,4538.61682165043
k_3,26.4756,12.2888849323198,7230.31147845611
k_3,26.4756,26.4756,11651.88496925
k_3,26.4756,57.0399510794081,33374.9602516309
k_3,26.4756,122.888849323198,47113.5046752634
k_3,26.4756,264.756,51451.2232452275
k_1,11.4447,1.14447,2553.97615846278
k_1,11.4447,2.46568586970079,4561.35201302632
k_1,11.4447,5.31215917240482,7407.08999405944
k_1,11.4447,11.4447,11651.88496925
k_1,11.4447,24.6568586970079,24900.1159321794
k_1,11.4447,53.1215917240482,35329.6728586263
k_1,11.4447,114.447,39406.237856273
k_2,114.447,11.4447,39285.8359095607
k_2,114.447,24.6568586970079,35119.2265131921
k_2,114.447,53.1215917240482,24779.6035301757
k_2,114.447,114.447,11651.88496925
k_2,114.447,246.568586970079,7522.63682459017
k_2,114.447,531.215917240482,4784.72142860238
k_2,114.447,1144.47,2771.19451881495
compliance_factor,0.5,0.05,37526.8225229315
compliance_factor,0.5,0.107721734501594,29297.2287043782
compliance_factor,0.5,0.232079441680639,19185.7216769094
compliance_factor,0.5,0.5,11651.88496925
compliance_factor,0.5,1.07721734501594,6976.05845431722
compliance_factor,0.5,2.32079441680639,4216.75499425277
compliance_factor,0.5,5,2785.42066672627
k_cb,0.001,0.0001,2944.28928929433
k_cb,0.001,0.000215443469003188,5821.02222986615
k_cb,0.001,0.000464158883361278,9123.51738244956
k_cb,0.001,0.001,11651.88496925
k_cb,0.001,0.00215443469003188,14169.1315695792
k_cb,0.001,0.00464158883361278,20776.3721671846
k_cb,0.001,0.01,31894.7259342958
k_5_1,1,0.1,15195.0954401617
k_5_1,1,0.215443469003188,14687.8561010484
k_5_1,1,0.464158883361278,13643.3276537607
k_5_1,1,1,11651.88496925
k_5_1,1,2.15443469003188,8845.38921378256
k_5_1,1,4.64158883361278,3810.44265521562
k_5_1,1,10,1944.15141340263
k_boltzmann,1.38e-23,1.38e-24,5724.26830973444
k_boltzmann,1.38e-23,2.973119872244e-24,6500.57290325666
k_boltzmann,1.38e-23,6.40539259038564e-24,8756.29472095276
k_boltzmann,1.38e-23,1.38e-23,11651.88496925
k_boltzmann,1.38e-23,2.973119872244e-23,18640.9529318186
k_boltzmann,1.38e-23,6.40539259038563e-23,24730.9827651542
k_boltzmann,1.38e-23,1.38e-22,22183.35480786
temperature,288,28.8,5724.26830973444
temperature,288,62.0477190729183,6500.57290333647
temperature,288,133.677758408048,8756.29472095273
temperature,288,288,11651.88496925
temperature,288,620.477190729183,18640.9529322677
temperature,288,1336.77758408048,24730.9827651542
temperature,288,2880,22183.35480786
k_5_0,814.022,81.4022,3970.07122557127
k_5_0,814.022,175.375723524913,6222.25470866803
k_5_0,814.022,377.835542551514,8681.46859547353
k_5_0,814.022,814.022,11651.88496925
k_5_0,814.022,1753.75723524913,13984.1473452562
k_5_0,814.022,3778.35542551514,15667.8134628685
