restart,error,k_1,k_3,k_on,k_5_0,k_coop,k_7_1,k_4_0,k_7_2,k_7_3
11,0.067990,0.766747,53.734,2.13686e+07,2405.27,2.88949,0.1,71.6397,9.99381,6.65132
12,0.138918,6.65819,199.533,4.01054e+07,379.069,10.948,0.167073,176.572,1.03893,3.85941
13,0.281335,2.89398,5.45286,5.01188e+07,87.2797,4.93097,0.0999995,5.19072,1.04582,7.5273
14,0.033000,2.08278,68.0683,2.76124e+07,900.374,14.9961,0.171019,48.7535,5.3067,2.99915
15,0.022129,2.11894,96.0374,3.06558e+07,697.552,14.9969,0.148565,133.295,9.99988,6.52038
16,0.033596,2.50962,64.3912,3.51713e+07,2022.3,14.9968,0.302837,39.2074,1.4259,3.0747
17,0.045669,3.07166,111.78,9.99994e+06,2104.93,1.99527,0.17653,74.7012,2.45674,6.14949
18,0.294311,56.5499,6.18176,2.31692e+07,109.739,1.99524,0.100002,5.19077,1.59245,5.96844
19,0.041647,3.31641,164.07,9.99995e+06,1313.5,2.66615,0.10001,100.879,1.95594,6.5789
20,0.170068,1.7697,85.7947,2.216e+07,210.057,3.01946,0.0999993,53.1463,3.68897,3.04276
