restart,error,k_1,k_3,k_on,k_5_0,k_coop,k_7_1,k_4_0,k_7_2,k_7_3
21,0.023148,6.005,66.759,3.06754e+07,645.874,14.9968,0.488889,77.0069,1.58846,10
22,0.053483,1.97778,64.1447,2.27751e+07,2397.32,7.60703,0.103349,12.2116,1.84321,2.99916
23,0.023505,3.76376,74.5096,1.91685e+07,1334.67,14.9968,0.214241,10.4928,3.90829,2.99915
24,0.034640,4.80699,199.526,1.12236e+07,1254.49,3.32748,0.0999991,150.485,4.33879,7.92882
25,0.029375,99.999,199.527,1.34357e+07,691.801,5.95029,0.147009,110.78,1.60997,9.48674
26,0.061037,90.2185,49.2799,1.18702e+07,2392.79,2.45561,0.161319,6.11844,9.9992,6.80546
27,0.098538,0.856096,12.2698,3.86864e+07,2070.3,4.97433,1.00002,11.6775,1.25238,10.0001
28,0.107841,12.9232,19.9595,2.33871e+07,656.625,1.9955,0.166834,13.6986,0.848568,10
29,0.167115,100,6.56528,4.83596e+07,798.919,1.99521,0.1,6.7135,2.62867,4.61648
30,0.059334,0.91461,15.5601,4.63808e+07,2252.69,14.9968,0.111102,11.3793,0.84865,8.01843
