fixed_value,best_error,k_3,k_on,k_5_0,k_coop,k_7_1,k_4_0,k_7_2,k_7_3
0.5,0.078480,19.2823,4.18487e+07,2405.26,14.9962,0.128026,11.4502,10,6.05561
1,0.058807,40.1613,3.08444e+07,933.109,12.8838,0.108797,29.1451,9.99995,2.99916
2,0.033111,155.23,2.40685e+07,756.445,13.4955,0.62586,131.269,9.99554,2.99916
5,0.018799,106.991,3.07456e+07,527.58,14.9967,0.10023,137.691,2.14686,6.67527
10,0.034905,198.453,1e+07,1395.39,2.67504,0.136501,148.218,1.54462,9.99994
20,0.034335,199.26,1.557e+07,690.935,3.48604,0.100003,176.914,2.53002,6.75837
35,0.038889,199.484,1e+07,1075.3,2.08591,0.228364,144.205,2.23237,6.18708
50,0.038881,199.495,1e+07,1062.16,2.12938,0.232782,141.495,2.2064,6.15009
70,0.026501,199.101,1.535e+07,522.098,14.6879,0.203464,73.3983,1.44929,5.95507
100,0.035905,199.528,2.02933e+07,616.451,7.78738,0.3505,121.804,1.48949,4.37013
