name,best,mode,peak_elast,peak_fold,peak_dir,relax_elast,relax_fold,shorten_elast,srx_elast
k_off,10.0414,mult,-1.95996265549752,72.650455309543,down,NaN,4.26436781609173,-1.96003182270778,0.426003367174891
k_on,36315600,mult,1.7645154413858,73.6458832669728,up,NaN,4.26436781609173,1.76454699851973,-0.37201478389144
cb_number_density,6.9e+16,mult,0.774079318556495,35.5416136863271,up,NaN,2.89843749999985,0.774075796236123,-0.0614452400263667
k_3,15.6713,mult,0.770544063806817,21.7436048222398,up,NaN,4.26436781609173,0.770540478579583,-0.159260179923874
k_2,169.527,mult,-0.639850467784754,14.5291262830157,down,NaN,4.41666666666644,-0.639844825940711,0.344783193510782
k_boltzmann,1.38e-23,mult,0.497542753078221,8.62894172134493,up,NaN,2.70802919708015,0.497533925763494,-0.104025167304903
temperature,288,mult,0.497542753078221,8.62894172134493,up,NaN,2.70802919708015,0.497533925763494,-0.104025167304903
compliance_factor,0.5,mult,-0.472071733279612,6.48680963386057,down,0.80862533692717,1.29523809523803,-0.47208853330462,0.121096981582025
k_7_0,104,mult,-0.431595226141449,5.67561841762257,down,NaN,1.60606060606052,-0.43161022321639,0.0532467091839356
x_ps,5,mult,0.370599839004301,157925149.711548,down,NaN,3.90526315789453,0.37062497419371,-0.0404835878512396
k_7_3,4.90732,mult,0.359073171344589,2.79951129108139,up,NaN,1.53305785123959,0.359084100518566,-0.0536983611580769
k_5_1,1,mult,-0.338068472165558,7.46868857576363,down,NaN,10.305555555555,-0.33806072171476,0.0741264909932822
k_force,0.00015,mult,0.326563919701667,3.59820245487615,up,NaN,4.26436781609173,0.326575709428921,-0.199726275627603
k_cb,0.001,mult,0.278272838592686,5.16304798473611,up,NaN,2.76865671641777,0.278278183445465,0.0427275779723022
passive_hsl_slack,1000,mult,-0.270682179906732,1.58602657647905,down,0.889487870619891,1.21639344262293,0.527312266303355,0.0684538455605977
k_5_0,1142.98,mult,0.247085337073187,3.06146236246092,up,NaN,9.51282051282002,0.247066061772707,-0.0498987998036971
k_7_2,1.89224,mult,0.196609075857606,2.77320213237307,up,NaN,1.53941908713685,0.196615489268435,-0.026557438043876
k_4_0,10.0338,mult,-0.0953192160517701,1.97161717238074,down,NaN,5.29999999999972,-0.0953225487050625,0.0104691369136926
k_coop,19.1969,mult,-0.0935719948349503,1.32008261005979,down,NaN,4.63749999999976,-0.0935748969367436,0.0140684750128208
k_11,18,mult,0.0699155911728759,1.51177361288059,up,1.71159029649585,4.93406593406562,0.0699181152847282,0.0718802817964952
k_12,1.8,mult,-0.0598068374218972,1.5828340172675,down,-1.67115902964949,4.86021505376313,-0.059808995162788,-0.056817793063915
k_13,100,mult,0.0539361758725536,1.35342737464405,up,0.417789757412371,2.64383561643821,0.0539381222848118,0.0358295857685575
k_4_1,0.1,mult,-0.0400311337189229,1.24941746519912,down,NaN,6.28813559322001,-0.0400324398800461,0.000596756488833311
max_rate,5000,mult,-0.0385446669362925,1.21754006330666,down,-0.727762803234457,2.11578947368409,-0.038545855925638,0.00723287562270557
k_7_1,0.617297,mult,-0.0363800294538387,1.05950069515136,down,0.309973045822083,1.23548387096772,-0.0363812039889158,0.0121080818112939
k_9,5,mult,-0.0129286510919882,1.09403097829181,down,-0.121293800539075,1.77824267782418,-0.0129291178458185,-0.00756443475939018
k_14,1.8,mult,-0.00306900108657721,1.0299547487313,down,-0.10781671159029,1.75641025641018,-0.00306908520880421,-0.00314470283430207
k_6_1,0.01,mult,5.27496116189466e-08,1.00000050985931,up,0,1,5.27500905312464e-08,-2.08940415557133e-08
k_6_0,0.1,mult,5.72022679065197e-11,1.00000000056636,up,0,1,5.72140527359389e-11,-2.04587955955705e-11
passive_L,25,mult,5.97436117931718e-14,1.00000000000001,down,0,1,7.29315258778811e-14,-9.55328571343021e-15
passive_sigma,100,mult,4.10737331078056e-14,1.00000000000001,down,0,1,3.42778171626041e-14,-1.38956883104439e-14
passive_k_linear,14,mult,0,1,down,0,1,0,0
k_1,16.9527,mult,0.649623,15.215,up,NaN,4.41667,0.649618,-0.348121
k_8,0,add,NaN,4.00494240917729,up,NaN,1.98395721925123,NaN,NaN
k_10,0,add,NaN,1.07288673500598,up,NaN,1.12129380053908,NaN,NaN
