name,best,mode,peak_elast,peak_fold,peak_dir,relax_elast,relax_fold,shorten_elast,srx_elast
k_off,12.2886,mult,-1.27376272718594,73.4274848045381,down,-6.45833333333286,4.92753623188383,-1.27380472587054,0.144349787217176
passive_hsl_slack,1000,mult,-1.19620828335139,13.805607960153,down,0.505952380952381,1.11258278145695,0.759988792723641,0.161645058141379
k_on,41867700,mult,1.1780010854689,74.3986558589082,up,5.35714285714254,4.31428571428556,1.17800836374419,-0.132363322422276
k_5_1,1,mult,-0.708465486148981,6.71816658056736,down,0.119047619047619,1.16867469879518,-0.708470709494832,0.069763430484923
cb_number_density,6.9e+16,mult,0.697038900672146,38.8613063204832,up,0.773809523809524,1.65454545454545,0.697030714971794,-0.00896713367303814
k_5_0,240.526,mult,0.696298883135557,19.8448692071995,up,-0.0595238095238095,1.69444444444444,0.696291068973519,-0.08152358354522
k_3,25.1417,mult,0.687903222442766,23.3242396661195,up,1.54761904761905,2.32941176470588,0.687894815893483,-0.116224185969718
k_2,56.0576,mult,-0.604693749100808,16.4366521050981,down,-1.42857142857143,2.3452380952381,-0.604685169840399,0.249267758777838
k_7_0,104,mult,-0.529624629639327,7.49577767264938,down,-0.357142857142857,1.27737226277372,-0.529642449026725,0.0338889897176778
k_boltzmann,1.38e-23,mult,0.47820124074707,7.00046836545321,up,0.56547619047619,1.74509803921569,0.47818907020785,-0.0684806004924944
temperature,288,mult,0.47820124074707,7.00046836545321,up,0.56547619047619,1.74509803921569,0.47818907020785,-0.0684806004924944
compliance_factor,0.5,mult,-0.467764683194234,6.96642808253006,down,0.297619047619048,1.26277372262774,-0.467780406374867,0.0772808658987461
k_4_0,51.9082,mult,-0.419435108163696,10.5260829768606,down,-1.45833333333333,2.21348314606742,-0.419449016716818,0.0523770002502888
k_cb,0.001,mult,0.220286472018397,4.87750831254999,up,0.238095238095238,1.3030303030303,0.220290484821038,0.0595468220771671
k_force,0.00015,mult,0.189726624636972,3.80164027418455,up,0.56547619047619,1.56140350877193,0.189733185348101,-0.0959415638913898
k_12,1,mult,-0.10718682666343,2.03347989488912,down,-0.208333333333333,2.4,-0.107190532896206,-0.127593976202301
k_coop,19.9526,mult,-0.105974455092069,1.33782718419435,down,-0.744047619047619,2.56338028169014,-0.105977436148095,0.00530213239375486
k_11,5,mult,0.0979186640633977,1.37671544001443,up,0.267857142857143,2.12264150943396,0.0979220500721542,0.144289682068056
x_ps,5,mult,0.0560204795184019,172743445.789411,down,0.238095238095238,172,0.0560344141859452,0.0069275909775189
k_13,100,mult,0.039809675984725,1.26324212192036,up,0.0297619047619048,1.23571428571429,0.0398110521381504,0.0383865993412343
k_4_1,0.1,mult,-0.0360560404637461,1.1958974658254,down,-0.208333333333333,2.34,-0.0360571299247408,0.00258912728364253
k_9,5,mult,-0.0189738895891023,1.1393635929765,down,-0.0297619047619048,1.23404255319149,-0.0189745457021406,-0.0176509442273016
k_7_3,8.10684,mult,-0.0188260332324791,2.21023994481156,up,0,1.26315789473684,-0.0188266448059447,0.00677299318001274
k_7_1,0.100001,mult,-0.0141401723291521,1.14939862970956,down,0.0297619047619048,1.1377245508982,-0.0141406440968707,-0.00196847183810828
k_14,1,mult,-0.00192343273376251,1.01893323324472,down,-0.0297619047619048,1.04968944099379,-0.00192348383153542,-0.00156295328130447
k_7_2,8.48662,mult,-0.000772946962190418,1.11226588533049,up,0,1.08333333333333,-0.000772973000778026,7.04674906285545e-05
max_rate,5000,mult,0.000235961752739692,1.00149000614386,up,0,1.00595238095238,0.000235968658725863,-2.30751085426095e-05
k_6_1,0.01,mult,-3.85137988949939e-08,1.00000036623454,down,0,1,-3.8512776633963e-08,2.58413581981321e-09
k_6_0,0.1,mult,-1.45188349627807e-10,1.00000000143608,down,0,1,-1.45170166783152e-10,1.74349918665714e-11
passive_sigma,100,mult,-1.70830925735305e-14,1,down,0,1,-8.34162688159878e-16,1.04458486394157e-14
passive_L,25,mult,1.70830925735305e-14,1,up,0,1,8.34162688159878e-16,-1.04458486394157e-14
passive_k_linear,14,mult,0,1,down,0,1,0,0
k_1,5.60576,mult,0.634453,19.0912,up,1.25,2.41772,0.634446,-0.240111
k_8,0,add,NaN,9.9930829031227,up,NaN,3.04166666666641,NaN,NaN
k_10,0,add,NaN,1.20293078518908,up,NaN,1.59523809523806,NaN,NaN
