param,best,x_value,peak_force
x_ps,5,0.5,1628.9880073772
x_ps,5,1.07721734501594,2358.23705111781
x_ps,5,2.32079441680639,3711.5572459826
x_ps,5,5,5014.9263977822
x_ps,5,10.7721734501594,1371.42305080123
x_ps,5,23.2079441680639,6.15482590066578
x_ps,5,50,2.35492400230504e-05
k_on,26266700,2626670,165.286879887005
k_on,26266700,5658988.96726605,459.532566476933
k_on,26266700,12191922.1415857,1870.7503057663
k_on,26266700,26266700,5014.9263977822
k_on,26266700,56589889.6726605,15057.2359838536
k_on,26266700,121919221.415857,15696.4642817591
k_on,26266700,262667000,15816.5345250252
k_off,10.0008,1.00008,15743.6032786324
k_off,10.0008,2.15460704480709,15620.5743722752
k_off,10.0008,4.64196016071947,14951.0787699177
k_off,10.0008,10.0008,5014.9263977822
k_off,10.0008,21.5460704480709,1962.62057469234
k_off,10.0008,46.4196016071947,471.386647443729
k_off,10.0008,100.008,168.214116323379
cb_number_density,6.9e+16,6.9e+15,851.685398908393
cb_number_density,6.9e+16,1.486559936122e+16,1686.24571061797
cb_number_density,6.9e+16,3.20269629519282e+16,3034.04799415225
cb_number_density,6.9e+16,6.9e+16,5014.9263977822
cb_number_density,6.9e+16,1.486559936122e+17,8220.79590835225
cb_number_density,6.9e+16,3.20269629519282e+17,16371.6689416234
cb_number_density,6.9e+16,6.9e+17,27526.4671115328
k_3,35.2982,3.52982,1199.33862614647
k_3,35.2982,7.60476665756835,2073.52693528489
k_3,35.2982,16.3839730966631,3248.24253043464
k_3,35.2982,35.2982,5014.9263977822
k_3,35.2982,76.0476665756835,11172.5786201015
k_3,35.2982,163.839730966631,20072.9536984436
k_3,35.2982,352.982,23289.3312321867
k_5_0,231.36,23.136,679.243778515067
k_5_0,231.36,49.8450009885777,1386.6182280812
k_5_0,231.36,107.387799254465,2731.33715784497
k_5_0,231.36,231.36,5014.9263977822
k_5_0,231.36,498.450009885777,7981.25689262159
k_5_0,231.36,1073.87799254465,10798.9704691202
k_5_0,231.36,2313.6,13056.5686471319
k_1,5.04899,0.504899,1028.13524126957
k_1,5.04899,1.08777192056241,1901.48220909554
k_1,5.04899,2.34353356050226,3173.44426768546
k_1,5.04899,5.04899,5014.9263977822
k_1,5.04899,10.8777192056241,8494.97993102344
k_1,5.04899,23.4353356050226,16021.313475571
k_1,5.04899,50.4899,19017.996417078
k_2,50.4899,5.04899,18396.4320446603
k_2,50.4899,10.8777192056241,15376.6185348381
k_2,50.4899,23.4353356050226,8288.65505811171
k_2,50.4899,50.4899,5014.9263977822
k_2,50.4899,108.777192056241,3378.11872862951
k_2,50.4899,234.353356050226,2210.78079691339
k_2,50.4899,504.899,1301.28032595811
compliance_factor,0.5,0.05,13683.6054887563
compliance_factor,0.5,0.107721734501594,10640.2470847603
compliance_factor,0.5,0.232079441680639,7527.89416555556
compliance_factor,0.5,0.5,5014.9263977822
compliance_factor,0.5,1.07721734501594,3279.13174092734
compliance_factor,0.5,2.32079441680639,2125.74877932859
compliance_factor,0.5,5,1338.79669140528
k_5_1,1,0.1,9310.98737508573
k_5_1,1,0.215443469003188,8740.0733850728
k_5_1,1,0.464158883361278,7402.29682845891
k_5_1,1,1,5014.9263977822
k_5_1,1,2.15443469003188,2738.46988637813
k_5_1,1,4.64158883361278,1672.60516276271
k_5_1,1,10,1344.72400581316
k_4_0,39.4747,3.94747,11328.5466882058
k_4_0,39.4747,8.50456630586016,9783.77942896215
k_4_0,39.4747,18.3225326730214,6569.53876037504
k_4_0,39.4747,39.4747,5014.9263977822
k_4_0,39.4747,85.0456630586016,3901.80681181714
k_4_0,39.4747,183.225326730214,2818.4857847665
k_4_0,39.4747,394.747,1668.27094331089
